area,tecnologia,defecto,causa,division,proyecto,,,,,
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DE PRUEBA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DE PRUEBA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DE PRUEBA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,INSPECCION,MAL DISEÑO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,INSPECCION,MAL DISEÑO,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,INSPECCION,PIN DOBLADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,INSPECCION,PIN DOBLADO,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,INTRODUCCION,MATERIAL EN INTRODUCCION (CODIGO 095),INTRODUCCION,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,LAQUEADO,EXCESO DE LACA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,LAQUEADO,EXCESO DE LACA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,LAQUEADO,EXCESO DE LACA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,LAQUEADO,MAL LAQUEADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,LAQUEADO,MAL LAQUEADO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,LAQUEADO,MAL LAQUEADO,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,LAQUEADO,SIN PRUEBA ANTERIOR,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,LAQUEADO,SIN PRUEBA ANTERIOR,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,LAQUEADO,UNIDAD GOLPEADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,LAQUEADO,UNIDAD GOLPEADA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,LAQUEADO,UNIDAD GOLPEADA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,CAMBIO DE SOFTWARE,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,COMPONENETE MAL INSERTADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE ELEVADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE ELEVADO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE ELEVADO,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE EQUIVOCADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE EQUIVOCADO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE EQUIVOCADO,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE FALTANTE,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE FALTANTE,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE FALTANTE,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE FRACTURADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE FRACTURADO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE FRACTURADO,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE INVERTIDO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE MAL PREFORMADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE MAL PREFORMADO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,CONTAMINACION,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,CONTAMINACION,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,CONTAMINACION,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,CONTAMINACION,PROVEEDOR,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,CORTOS,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,CORTOS,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,CORTOS,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,ERROR DE FLLUJO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,ERROR DE FLLUJO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,ERROR DE FLLUJO,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,INSUFICIENCIA DE SOLDADURA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,INSUFICIENCIA DE SOLDADURA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,INSUFICIENCIA DE SOLDADURA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,PAD VOLADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,PAD VOLADO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,PCB DELAMINADO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,PERLAS,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,PERLAS,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,PERLAS,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,PIN DOBLADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,PIN DOBLADO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,PIN DOBLADO,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,PIN DOBLADO,PROVEEDOR,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,PIN ELEVADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,PIN ELEVADO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,PIN ELEVADO,PROVEEDOR,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,SIN EVIDENCIA DE PIN,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,SOLDADURA SOBRE PCB,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,SOLDADURA SOBRE PCB,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,SOLDADURA SOBRE PCB,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD DAÑADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD DAÑADA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD DAÑADA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD DE PRUEBA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
