area,tecnologia,division,proyecto
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,SMART ECU
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,SMART ECU
BACKEND/ENSAMBLE FINAL,KITTING,B&S 2,SMART ECU
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,SMART FOB
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,SMART FOB
BACKEND/ENSAMBLE FINAL,LAQUEADO,B&S 2,SMART FOB
BACKEND/ENSAMBLE FINAL,LASER MARKING,B&S 2,SMART FOB
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,SMART FOB
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,SMART FOB
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,SMART FOB
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,SMART FOB
BACKEND/ENSAMBLE FINAL,ENSAMBLE,B&S 2,SMART FOB
BACKEND/ENSAMBLE FINAL,KITTING,B&S 2,SMART FOB
BACKEND/ENSAMBLE FINAL,LASER WELDING,B&S 2,SMART FOB
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE UPPER HOUSING,B&S 2,SMART FOB
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE MIDDLE HOUSING,B&S 2,SMART FOB
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE LOWER HOUSING,B&S 2,SMART FOB
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,SPDJB
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,SPDJB
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,B&S 2,SPDJB
BACKEND/ENSAMBLE FINAL,CURADO,B&S 2,SPDJB
BACKEND/ENSAMBLE FINAL,HOT TEST,B&S 2,SPDJB
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,SPDJB
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,SPDJB
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,TG DCX
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,TG ECU
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,TG ECU
BACKEND/ENSAMBLE FINAL,PRESS FIT ,B&S 2,TG ECU
BACKEND/ENSAMBLE FINAL,CERRADO,B&S 2,TG ECU
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,TG ECU
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,TG ECU
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,TG ECU
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,TG ECU
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,TG1C DCX
BACKEND/ENSAMBLE FINAL,DISPENSADO DE PU,B&S 2,TG1C DCX
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,B&S 2,TG1C DCX
BACKEND/ENSAMBLE FINAL,LASER MARKING,B&S 2,TG1C DCX
BACKEND/ENSAMBLE FINAL,PRUEBA DE AMBIENTE,B&S 2,TG1C DCX
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,TG1C DCX
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,TG1C DCX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,TG1C DCX
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,TG1C DCX
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE SEAL,B&S 2,TG1C DCX
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BATERIA,B&S 2,TG1C DCX
BACKEND/ENSAMBLE FINAL,SOLDADO DE ANTENA,B&S 2,TG1C DCX
BACKEND/ENSAMBLE FINAL,SOLDADO DE BATERIA,B&S 2,TG1C DCX
BACKEND/ENSAMBLE FINAL,MIX,B&S 2,TG1C DCX
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE VALVULA,B&S 2,TG1C DCX
BACKEND/ENSAMBLE FINAL,CAP INSPECTION,B&S 2,TG1C DCX
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,TG1C HONDA
BACKEND/ENSAMBLE FINAL,DISPENSADO DE PU,B&S 2,TG1C HONDA
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,B&S 2,TG1C HONDA
BACKEND/ENSAMBLE FINAL,LASER MARKING,B&S 2,TG1C HONDA
BACKEND/ENSAMBLE FINAL,PRUEBA DE AMBIENTE,B&S 2,TG1C HONDA
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,TG1C HONDA
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,TG1C HONDA
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,TG1C HONDA
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,TG1C HONDA
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE SEAL,B&S 2,TG1C HONDA
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BATERIA,B&S 2,TG1C HONDA
BACKEND/ENSAMBLE FINAL,SOLDADO DE ANTENA,B&S 2,TG1C HONDA
BACKEND/ENSAMBLE FINAL,SOLDADO DE BATERIA,B&S 2,TG1C HONDA
BACKEND/ENSAMBLE FINAL,MIX,B&S 2,TG1C HONDA
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE VALVULA,B&S 2,TG1C HONDA
BACKEND/ENSAMBLE FINAL,CAP INSPECTION,B&S 2,TG1C HONDA
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,TG1C HYUNDAI
BACKEND/ENSAMBLE FINAL,DISPENSADO DE PU,B&S 2,TG1C HYUNDAI
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,B&S 2,TG1C HYUNDAI
BACKEND/ENSAMBLE FINAL,LASER MARKING,B&S 2,TG1C HYUNDAI
BACKEND/ENSAMBLE FINAL,PRUEBA DE AMBIENTE,B&S 2,TG1C HYUNDAI
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,TG1C HYUNDAI
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,TG1C HYUNDAI
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,TG1C HYUNDAI
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,TG1C HYUNDAI
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE SEAL,B&S 2,TG1C HYUNDAI
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BATERIA,B&S 2,TG1C HYUNDAI
BACKEND/ENSAMBLE FINAL,SOLDADO DE ANTENA,B&S 2,TG1C HYUNDAI
BACKEND/ENSAMBLE FINAL,SOLDADO DE BATERIA,B&S 2,TG1C HYUNDAI
BACKEND/ENSAMBLE FINAL,MIX,B&S 2,TG1C HYUNDAI
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE VALVULA,B&S 2,TG1C HYUNDAI
BACKEND/ENSAMBLE FINAL,CAP INSPECTION,B&S 2,TG1C HYUNDAI
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,TG1C NISSAN
BACKEND/ENSAMBLE FINAL,DISPENSADO DE PU,B&S 2,TG1C NISSAN
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,B&S 2,TG1C NISSAN
BACKEND/ENSAMBLE FINAL,LASER MARKING,B&S 2,TG1C NISSAN
BACKEND/ENSAMBLE FINAL,PRUEBA DE AMBIENTE,B&S 2,TG1C NISSAN
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,TG1C NISSAN
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,TG1C NISSAN
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,TG1C NISSAN
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,TG1C NISSAN
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE SEAL,B&S 2,TG1C NISSAN
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BATERIA,B&S 2,TG1C NISSAN
BACKEND/ENSAMBLE FINAL,SOLDADO DE ANTENA,B&S 2,TG1C NISSAN
BACKEND/ENSAMBLE FINAL,SOLDADO DE BATERIA,B&S 2,TG1C NISSAN
BACKEND/ENSAMBLE FINAL,MIX,B&S 2,TG1C NISSAN
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE VALVULA,B&S 2,TG1C NISSAN
BACKEND/ENSAMBLE FINAL,CAP INSPECTION,B&S 2,TG1C NISSAN
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,TG1C UNIVERSAL
BACKEND/ENSAMBLE FINAL,DISPENSADO DE PU,B&S 2,TG1C UNIVERSAL
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,B&S 2,TG1C UNIVERSAL
BACKEND/ENSAMBLE FINAL,LASER MARKING,B&S 2,TG1C UNIVERSAL
BACKEND/ENSAMBLE FINAL,PRUEBA DE AMBIENTE,B&S 2,TG1C UNIVERSAL
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,TG1C UNIVERSAL
