No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
425159	3/8/2014	ZSCR	551	034-2	NA	'054	5WK44675	NA	A2C53328816	1	3011	054	 	1342	multipoint connector 56P H 2SYS 2004	NA	ROH	NA	22.87	PS_FIAT BRAZIL_E.EDWIN	NO	4975876694
425159	3/8/2014	ZSCR	551	034-2	NA	'054	A2C37744300	NA	A2C53330103	1	3011	054	 	1342	socket	NA	ROH	NA	10.45	PS_FIAT BRAZIL_E.EDWIN	NO	
425159	3/8/2014	ZSCR	551	034-2	NA	'054	5WK44675	NA	A2C53332366	1	3011	054	 	1342	cover RAP T BK	NA	ROH	NA	4.82	PS_FIAT BRAZIL_E.EDWIN	NO	4975876694
425160	3/8/2014	ZSCR	551	034-2	NA	'054	A2C30910800	NA	A2C32519400	1	3011	054	 	1342	cover	NA	ROH	NA	8.37	PSAD_VW20_U.ULISES VILL	NO	4975876830
425160	3/8/2014	ZSCR	551	034-2	NA	'054	A2C30910800	NA	A2C53424040	4	3011	054	 	1342	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	1.08	PSAD_VW20_U.ULISES VILL	NO	4975876830
425161	3/8/2014	ZSCR	551	034-2	NA	'054	5WK44120	NA	A2C53324560	200	3011	054	 	1342	certification label spool part p	NA	ROH	NA	100	PS_ARAMIS 2012_E.EDWIN	NO	4975876820
425162	3/8/2014	ZSCR	551	034-2	NA	'054	5WK44688	NA	A2C53330107	1	3011	054	 	1342	socket	NA	ROH	NA	13.19	PS_HONDA HRS6_J.JUAN CH	NO	
425163	3/8/2014	ZSCR	551	034-2	NA	'054	A2C82538600	NA	A2C82535400	1	3011	054	 	1342	cover	NA	ROH	NA	3.37	PSAD_OPEL 4400_J.JOSE O	NO	
425165	3/8/2014	ZSCR	551	034-2	NA	'054	5WK44675	NA	A2C53332366	5	3011	054	 	1342	cover RAP T BK	NA	ROH	NA	24.1	PS_FIAT BRAZIL_E.EDWIN	NO	4975876694
425165	3/8/2014	ZSCR	551	034-2	NA	'054	A2C37924700	NA	A2C53379985	2	3011	054	 	1342	multipoint connector 56P H 2SYS 4003	NA	ROH	NA	48	PS_FIAT BRAZIL_E.EDWIN	NO	
425174	3/8/2014	ZSCR	551	030-1	NA	'054	5WK44690	NA	A2C53295039	168	3011	054	 	1301	pcb HONDA ACU16 main	NA	ROH	NA	2814	PS_HONDA HRS5_.	NO	
425175	3/8/2014	ZSCR	551	030-1	NA	'054	A2C31748900	NA	A2C53412221	4	3011	054	 	1301	pcb GM BRAZIL S	NA	ROH	NA	56.76	PSAD_GM BRASIL_A.ANA TA	NO	
425180	3/8/2014	ZSCR	551	030-1	NA	'054	A2C30930102	NA	A2C53338029	6	3011	054	 	1301	pcb panel multiple 6-up main	NA	ROH	NA	128.28	PS_ARAMIS III_E.EDWIN R	NO	
425368	3/8/2014	ZSCR	551	040-3	NA	'054	A2C83014200	NA	A2C83014200	1	3011	054	 	1403	ACU OPLA3 10 300 AU/SN	NA	FERT	NA	261.98	PSAD_OPEL 4400_J.JOSE O	NO	
425370	3/8/2014	ZSCR	551	040-3	NA	'054	A2C82538600	NA	A2C82538600	1	3011	054	 	1403	ACU OPLA4400 12 HU XE SE	NA	FERT	NA	274.18	PSAD_OPEL 4400_J.JOSE O	NO	
425377	3/8/2014	ZSCR	551	034-2	NA	'054	A2C37964101	NA	A2C35116200	1				1342	pcb assy DAGSTAR2 D_3	NA	HALB	S.Real	398.95	PSAD_DAIMLER STAR 2_A.A	NO	4975875829
