No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Parte Padre 2	Batch ID	No.Parte	Cantidad	A	B	C	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
665831	23/09/2015	MB1A	551	040-1	K96019	'054	NA	#N/A	NA	A2C96829301	1	3011	054	 	1095	pcb assy HONHRS7 D_1-1	NA	HALB	S.Real	320.62	PS_HONDA HRS7_.	NO	4994305002
665835	23/09/2015	ZSCR	551	050-3	NA	'054	A2C83711000	A2C83711000	NA	A2C84661700	1	3011	054	 	1503	pcb assy VW20 D_4	31	HALB	S.Real	268.94	PS_VW20 MQB_.	NO	4994363051
665837	23/09/2015	MB1A	551	050-3	K96019	'054	NA	#N/A	2800	A2C90925800	4	3011	054	 	1095	ACU GMSDM40 MY16 S15 20 08 1 1 0 SDM40 I	NA	FERT	NA	2059.84	PS_SDM40_.	NO	4994305002
665839	23/09/2015	ZSCR	551	050-3	NA	'054	A2C91085500	A2C91085500	NA	A2C83971900	4	3011	054	 	1503	pcb topSMD	26	HALB	S.Real/AutoBF	1468.68	PS_SDM10+_.	NO	
665844	23/09/2015	MB1A	551	050-3	K96019	'054	NA	#N/A	NA	A2C92961500	3	3011	054	 	1095	pcb assy GMSDM40	NA	HALB	S.Real/AutoBF	1315.08	PS_SDM40_.	NO	4994305002
665847	23/09/2015	ZSCR	551	050-3	NA	'054	5WK44252	5WK44252	NA	A2C53364457	4	3011	054	 	1503	pcb assy	31	HALB	S.Real/AutoBF	414.12	OC_BOSE VW_A.ANA TAPIA-	NO	
665865	23/09/2015	MB1A	551	040-3	K96019	'054	NA	#N/A	NA	A2C96829301	4	3011	054	 	1095	pcb assy HONHRS7 D_1-1	NA	HALB	S.Real	1282.48	PS_HONDA HRS7_.	NO	4994305002
665872	23/09/2015	ZSCR	551	040-3	NA	'054	5WY89350	5WY89350	5	5WY89350	2	3011	054	 	1403	Chrysler RTRM DOM ORC MY13	68	FERT	NA	737.5	PS_CHRYSLER MY2016_.	NO	
665879	23/09/2015	MB1A	551	034-2	K96019	'054	NA	#N/A	NA	A2C95035705	9	3011	054	 	1095	ACU VW11 MY15 S20 16 06 0 1 0 NAR	NA	FERT	NA	3202.56	PS_VW11_.	NO	4994305002
665884	23/09/2015	MB1A	551	010-3	95000066	'054	NA	#N/A	MAAH	A2C33330515	582	3011	054	 	1103	ACU DAGS2WS205 MY13 S15 24 09 1 1 0 HSA	QN410113585	FERT	NA	318528.6	410113585_DAIMLE	NO	4994304838
665914	23/09/2015	MB1A	551	010-3	B30301-00210	'054	NA	#N/A	AAAA	A2C83711000	2	3011	054	 	1103	ACU VW20 MY14 S15 20 08 0 0 0 000	QN410112913	FERT	NA	576.86	410112913_VW20 M	NO	4994305104
665914	23/09/2015	MB1A	551	010-3	B30301-00210	'054	NA	#N/A	KAAF	A2C85215000	3	3011	054	 	1103	ACU VW20 MY12 S15 12 04 0 0 0 RdW MID	QN410112913	FERT	NA	725.25	410112913_VW20 M	NO	4994305104
665919	23/09/2015	MB1A	551	040-1	K96019	'054	NA	#N/A	NA	A2C96829301	1	3011	054	 	1095	pcb assy HONHRS7 D_1-1	NA	HALB	S.Real	320.62	PS_HONDA HRS7_.	NO	4994305002
665921	23/09/2015	MB1A	551	040-1	K96019	'054	NA	#N/A	NA	A2C96829301	1	3011	054	 	1095	pcb assy HONHRS7 D_1-1	NA	HALB	S.Real	320.62	PS_HONDA HRS7_.	NO	4994305002
665923	23/09/2015	MB1A	551	040-1	K96019	'054	NA	#N/A	NA	A2C96829301	1	3011	054	 	1095	pcb assy HONHRS7 D_1-1	NA	HALB	S.Real	320.62	PS_HONDA HRS7_.	NO	4994305002
665925	23/09/2015	MB1A	551	040-2	K96019	'054	NA	#N/A	1	A2C38172106	1	3011	054	 	1095	ACU DAGSMW453 MY13 S15 12 08 0 0 0 000	NA	FERT	NA	289.34	PSAD_DAIMLER SMART_F.FE	NO	4994305002
665927	23/09/2015	ZSCR	551	040-1	NA	'054	A2C80644604	A2C80644604		A2C80644604	1	3011	054	 	1401	ACU DAGA3WS212 MY12 M35 24 XX 0 1 0 000	65	FERT	NA	494.93	PS_ARAMIS III_.	NO	
666047	24/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C9573580192	1	3011	054	 	1095	pcb assy VW11 SMD BOT	NA	HALB	S.Real/AutoBF	160.73	PS_VW11_.	NO	4994305002
666048	24/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C9573580192	1	3011	054	 	1095	pcb assy VW11 SMD BOT	NA	HALB	S.Real/AutoBF	160.73	PS_VW11_.	NO	4994305002
666049	24/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C9573580193	1	3011	054	 	1095	pcb assy VW11 SMD TOP	NA	HALB	S.Real	264.33	PS_VW11_.	NO	4994305002
666052	24/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C82768800	18	3011	054	 	1095	pcb 4-lay DAG Smart	NA	ROH	NA	372.06	PSAD_DAIMLER SMART_F.FE	NO	4994305002
666053	24/09/2015	ZSCR	551	030-1	NA	'054	A2C96636001	A2C96636001	NA	A2C9666060092	64	3011	054	 	1301	pcb assy PTFSPEED15 V01_1 SMD BOT	19	HALB	S.Real/AutoBF	5241.6	PS_FIAT BRAZIL_.	NO	
666055	24/09/2015	ZSCR	551	030-1	NA	'054	A2C53429875A	A2C86852400	NA	A2C53429875B	6	3011	054	 	1301	Hyundai circuit board assy 12FL SMD Bot	36	HALB	S.Real/AutoBF	495.9	PS_HYUNDAI_.	NO	
666056	24/09/2015	ZSCR	551	030-1	NA	'054	A2C53374378A	5WK44285	NA	A2C53374377	6	3011	054	 	1301	pcb VW ZZDIV AC	19	ROH	NA	102.6	PS_VW10 LC_.	NO	4994363474
666077	24/09/2015	ZSCR	551	030-1	NA	'054	5WY88040	5WY88040	NA	A2C53412214	1	3011	054	 	1301	pcb assy	#N/A	HALB	S.Real/AutoBF	157.59	PSAD_GM BRASIL_A.ANA TA	NO	
666094	24/09/2015	ZSCR	551	030-1	NA	'054	5WY88040	5WY88040	NA	A2C53412214	1	3011	054	 	1301	pcb assy	#N/A	HALB	S.Real/AutoBF	157.59	PSAD_GM BRASIL_A.ANA TA	NO	
666095	24/09/2015	ZSCR	551	030-1	NA	'054	5WY88040	5WY88040	NA	A2C53412214	1	3011	054	 	1301	pcb assy	#N/A	HALB	S.Real/AutoBF	157.59	PSAD_GM BRASIL_A.ANA TA	NO	
666097	24/09/2015	MB1A	551	030-1	K96019	'054	A2C95035705	A2C95035705	NA	A2C95735801	1	3011	054	 	1095	pcb assy VW11	NA	HALB	S.Real	334.39	PS_VW11_.	NO	4994305002
666099	24/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C9296150193	1	3011	054	 	1095	pcb assy GMSDM40 D_2-1 TOP	NA	HALB	S.Real	377.49	PS_SDM40_.	NO	4994305002
666107	24/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C9682930193	1	3011	054	 	1095	pcb assy HONHRS7 D_1-1	NA	HALB	S.Real	278.27	PS_HONDA HRS7_.	NO	4994305002
666110	24/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C9682930193	1	3011	054	 	1095	pcb assy HONHRS7 D_1-1	NA	HALB	S.Real	278.27	PS_HONDA HRS7_.	NO	4994305002
666111	24/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C9682930193	1	3011	054	 	1095	pcb assy HONHRS7 D_1-1	NA	HALB	S.Real	278.27	PS_HONDA HRS7_.	NO	4994305002
666112	24/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C9682930192	6	3011	054	 	1095	pcb assy HONHRS7 D_1-1	NA	HALB	S.Real/AutoBF	1023.06	PS_HONDA HRS7_.	NO	4994305002
666114	24/09/2015	ZSCR	551	030-1	NA	'054	A2C8021770002	#N/A	NA	A2C8021770092	1	3011	054	 	1301	pcb assy HONHRS6 V20 BOTTOM	#N/A	HALB	S.Real/AutoBF	51	PS_HONDA HRS6_J.JUAN CH	NO	
666115	24/09/2015	ZSCR	551	030-1	NA	'054	A2C8021770002	#N/A	NA	A2C8021770092	1	3011	054	 	1301	pcb assy HONHRS6 V20 BOTTOM	#N/A	HALB	S.Real/AutoBF	51	PS_HONDA HRS6_J.JUAN CH	NO	
666117	24/09/2015	ZSCR	551	030-1	NA	'054	A2C8021770002	#N/A	NA	A2C8021770092	2	3011	054	 	1301	pcb assy HONHRS6 V20 BOTTOM	#N/A	HALB	S.Real/AutoBF	102	PS_HONDA HRS6_J.JUAN CH	NO	
666118	24/09/2015	ZSCR	551	030-1	NA	'054	A2C8021770002	#N/A	NA	A2C8021770092	1	3011	054	 	1301	pcb assy HONHRS6 V20 BOTTOM	#N/A	HALB	S.Real/AutoBF	51	PS_HONDA HRS6_J.JUAN CH	NO	
666125	24/09/2015	ZSCR	551	030-1	NA	'054	A2C92704001	A2C92704001	NA	A2C9663160092	1	3011	054	 	1301	pcb assy DAGSTAR2 ISC with SW SMD BOT	78	HALB	S.Real/AutoBF	169.71	PSAD_DAIMLER STAR2_ISC_	NO	
666127	24/09/2015	ZSCR	551	030-1	NA	'054	A2C92704001	A2C92704001	NA	A2C9663160092	1	3011	054	 	1301	pcb assy DAGSTAR2 ISC with SW SMD BOT	78	HALB	S.Real/AutoBF	169.71	PSAD_DAIMLER STAR2_ISC_	NO	
666137	24/09/2015	ZSCR	551	030-1	NA	'054	A2C92704001	A2C92704001	NA	A2C9663160092	1	3011	054	 	1301	pcb assy DAGSTAR2 ISC with SW SMD BOT	78	HALB	S.Real/AutoBF	169.71	PSAD_DAIMLER STAR2_ISC_	NO	
666139	24/09/2015	ZSCR	551	030-1	NA	'054	A2C92704001	A2C92704001	NA	A2C9663160092	1	3011	054	 	1301	pcb assy DAGSTAR2 ISC with SW SMD BOT	78	HALB	S.Real/AutoBF	169.71	PSAD_DAIMLER STAR2_ISC_	NO	
666142	24/09/2015	ZSCR	551	030-1	NA	'054	A2C96590001	A2C96590001	NA	A2C9666050092	1	3011	054	 	1301	pcb assy FIA326 OCS V15_1 SMD BOT	25	HALB	S.Real/AutoBF	81.9	PS_FIAT BRAZIL_.	NO	
666156	24/09/2015	ZSCR	551	030-1	NA	'054	A2C8327850092	A2C82735500	NA	A2C83277500	4	3011	054	 	1301	pcb	1	ROH	NA	96.56	PS_SDM30_.	NO	
666157	24/09/2015	ZSCR	551	030-1	NA	'054	A2C33330515	A2C33330515	NA	A2C9663150092	6	3011	054	 	1301	pcb assy DAGSTAR2 ISC with SW SMD BOT	97	HALB	S.Real/AutoBF	943.2	PSAD_DAIMLER STAR2_ISC_	NO	
666159	24/09/2015	ZSCR	551	030-1	NA	'054	A2C92704001	A2C92704001	NA	A2C9663160092	6	3011	054	 	1301	pcb assy DAGSTAR2 ISC with SW SMD BOT	78	HALB	S.Real/AutoBF	1018.26	PSAD_DAIMLER STAR2_ISC_	NO	
666160	24/09/2015	ZSCR	551	030-1	NA	'054	A2C92704001	A2C92704001	NA	A2C9663160092	6	3011	054	 	1301	pcb assy DAGSTAR2 ISC with SW SMD BOT	78	HALB	S.Real/AutoBF	1018.26	PSAD_DAIMLER STAR2_ISC_	NO	
