No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
286146	4/4/2013	ZSCR	551	034-2	NA	'050	A2C53164055	NA	A2C53164055	6	3011	050		1342	engine control el	NA	HALB	S.Real	632.16	S1_WIN_ADRIANA REYES (A	NO	
286148	4/4/2013	ZSCR	551	034-2	NA	'050	5WY7821	NA	A2C53305247	6	3011	050		1342	circuit board assy CHR (DCX)	NA	ROH	NA	86.88	S1_WIN_ADRIANA REYES (A	NO	
286149	4/4/2013	ZSCR	551	030-1	NA	'050	A2C8082790093	NA	A2C8082790093	2	3011	050		1301	MY12 SPDJB LOOP MODEL C TMI TOP	NA	HALB	S.Real	486.86	S1_SPDJB_PABLO PALMER-C	NO	
286150	4/4/2013	ZSCR	551	034-2	NA	'015	5WY8833	NA	A2C53338452	1	3011	´015	 	1342	circuit board assy	NA	HALB	S.Real	59.64	S1_DCU_ADRIAN CEBALLOS	NO	
286153	4/4/2013	ZSCR	551	034-2	NA	'015	5WK49845	NA	A2C53339918	1	3011	´015	 	1342	housing assy	NA	ROH	NA	3.69	S5_TG ECU_JORGE AGUILAR	NO	
286154	4/4/2013	ZSCR	551	034-2	NA	'015	5WY8919	NA	A2C32144600	1	3011	´015	 	1342	MY12 SPDJB LOOP PROGRAM ASM MODEL B	NA	HALB	S.Real	250.38	S1_SPDJB_PABLO PALMER-C	NO	
286156	4/4/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53345109	4	3011	´015	 	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	215.48	S5_TG1C HONDA_MIGUEL QU	NO	4966270783
286157	4/4/2013	ZSCR	551	030-1	NA	'015	S180052025	NA	A2C53277894	1	3011	´015	 	1301	valve housing	NA	ROH	NA	6.31	S5_TG1C HONDA_MIGUEL QU	NO	
286157	4/4/2013	ZSCR	551	030-1	NA	'015	S180052025	NA	A2C53327812	1	3011	´015	 	1301	"sealing ring 10x 4,4"	NA	ROH	NA	1.8	S5_TG1C HONDA_MIGUEL QU	NO	
286157	4/4/2013	ZSCR	551	030-1	NA	'015	A2C53402231	NA	A2C53402230	1	3011	´015	 	1301	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	43.42	S5_TG1C HONDA_MIGUEL QU	NO	4966270304
286159	4/5/2013	ZSCR	551	034-2	NA	'015	5WY8548	NA	A2C53348714	7	3011	´015	 	1342	control device TPM 433 MHz	NA	HALB	S.Real/AutoBF	400.54	S1_TG1C DCX_JAIME JIMEN	NO	4966270797
286160	4/5/2013	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C53348715	13	3011	´015	 	1342	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	745.16	S1_TG1C DCX_JAIME JIMEN	NO	4966270811
286161	4/5/2013	ZSCR	551	030-1	NA	'015	S180052025	NA	A2C53277894	1	3011	´015	 	1301	valve housing	NA	ROH	NA	6.31	S5_TG1C HONDA_MIGUEL QU	NO	
286161	4/5/2013	ZSCR	551	030-1	NA	'015	S180052025	NA	A2C53327812	1	3011	´015	 	1301	"sealing ring 10x 4,4"	NA	ROH	NA	1.8	S5_TG1C HONDA_MIGUEL QU	NO	
286161	4/5/2013	ZSCR	551	030-1	NA	'015	A2C53402231	NA	A2C53402230	1	3011	´015	 	1301	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	43.42	S5_TG1C HONDA_MIGUEL QU	NO	4966270304
286162	4/5/2013	ZSCR	551	040-1	NA	'015	A2C53402830	NA	A2C32163600	3	3011	´015	 	1401	module assy TPM	NA	HALB	S.Real/AutoBF	133.62	S1_TG1C DCX_JAIME JIMEN	NO	
286163	4/5/2013	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C32163600	2	3011	´015	 	1342	module assy TPM	NA	HALB	S.Real/AutoBF	89.08	S1_TG1C DCX_JAIME JIMEN	NO	4966270457
286164	4/5/2013	ZSCR	551	030-1	NA	'015	5WY8833	NA	A2C53338452	9	3011	´015	 	1301	circuit board assy	NA	HALB	S.Real	536.76	S1_DCU_ADRIAN CEBALLOS	NO	
286165	4/5/2013	ZSCR	551	030-1	NA	'015	5WY8920	NA	A2C32118700	1	3011	´015	 	1301	MY12 SPDJB LOOP PROGRAM ASM MODEL C	NA	HALB	S.Real	253.43	S1_SPDJB_PABLO PALMER-C	NO	
286166	4/5/2013	ZSCR	551	030-1	NA	'015	5WY8920	NA	A2C32118700	2	3011	´015	 	1301	MY12 SPDJB LOOP PROGRAM ASM MODEL C	NA	HALB	S.Real	506.86	S1_SPDJB_PABLO PALMER-C	NO	
286167	4/5/2013	ZSCR	551	030-1	NA	'015	5WY8923	NA	A2C32119300	1	3011	´015	 	1301	MY12 SPDJB HELIX PROGRAM ASM MODEL C	NA	HALB	S.Real	266.51	S1_SPDJB_PABLO PALMER-C	NO	
286167	4/5/2013	ZSCR	551	030-1	NA	'015	5WY8918	NA	A2C32147600	2	3011	´015	 	1301	MY12 SPDJB LOOP PROGRAM ASM MODEL A	NA	HALB	S.Real	451.76	S1_SPDJB_PABLO PALMER-C	NO	
286168	4/5/2013	ZSCR	551	040-2	NA	'015	A2C73658100	NA	A2C73658100	2	3011	´015	 	1402	SUB PCB TOP THD ASSY. PROD MY13	NA	HALB	S.Real/AutoBF	448.68	S1_TIPM MEDIUM_PABLO PA	NO	
286169	4/5/2013	ZSCR	551	030-1	NA	'015	A2C73658000	NA	A2C73658000	1	3011	´015	 	1301	TIPM 7Ci MY13 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	225.08	S1_TIPM MEDIUM_PABLO PA	NO	
286170	4/5/2013	ZSCR	551	030-1	NA	'015	A2C73658000	NA	A2C73658000	3	3011	´015	 	1301	TIPM 7Ci MY13 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	675.24	S1_TIPM MEDIUM_PABLO PA	NO	
