No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
124659	ZSCR	551	035-1	0	A2C53350875	NA	A2C00024523	1	1351	"1,N_CHAN,MOS,POWER,55V,49A,0Ohm,D2PACK/T"		ROH	NA	3.18	4956269663
124659	ZSCR	551	035-1	0	A2C53350875	NA	A2C00031873	1	1351	"8.2MHz,0.2%,CSTCC,CER RESONATOR"		ROH	NA	2.25	4956269663
124659	ZSCR	551	035-1	0	A2C53309877	NA	A2C00031966	4	1351	"3pF,0.1pF,50V,C0G,0603,TINNED,CER CAP/ +"		ROH	NA	0.12	4956269573
124659	ZSCR	551	035-1	0	A2C53309877	NA	A2C00032100	1	1351	"330pF,5%,50V,C0G,0402,TINNED,CER CAP/"		ROH	NA	0.02	4956269573
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00033760	11	1351	"220nF,10%,50V,X7R,0805,Sn,CER CAP/GCM"		ROH	NA	0.66	4956269623
124659	ZSCR	551	035-1	0	A2C53309877	NA	A2C00034028	1257	1351	"100nF,10%,16V,X7R,0402,TINNED,CER CAP/"		ROH	NA	25.14	4956269573
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00034103	5	1351	"100nF,10%,100V,X7R,0805,Sn,CER CAP/GCM"		ROH	NA	0.45	4956269623
124659	ZSCR	551	035-1	0	A2C53309877	NA	A2C00034525	70	1351	"2.36mH,30mA,SMD,COIL/CAS11D28 ++PLS USE"		ROH	NA	144.9	4956269573
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00035819	1	1351	"Single Wire CAN Transceiver,OTHER IC/TH8"		ROH	NA	3.76	4956269623
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00037184	68	1351	"23R7,1%,TK100,250mW,1206,LIN RES/MCR18FZ"		ROH	NA	2.04	4956269623
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00039778	620	1351	"2,both,RET,R<b>=10k , R<BE>=10k,100mA,50"		ROH	NA	130.2	4956269623
124659	ZSCR	551	035-1	0	A2C53309877T	NA	A2C00040667	292	1351	"L COIL/-,100nH,100mA,SMD"		ROH	NA	23.36	4956269579
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00040721	94	1351	"1,AND,SOT363,LOGIC/74LVC1G11GW"		ROH	NA	32.9	4956269623
124659	ZSCR	551	035-1	0	A2C53309877	NA	A2C00042205	189	1351	"2.36mH,SMD,COIL_ANTENNA"		ROH	NA	578.34	4956269573
124659	ZSCR	551	035-1	0	A2C53309877T	NA	A2C00042208	1	1351	"TRANSMITTER,315MHz,TDK5111F"		ROH	NA	5.98	4956269579
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00042286	7	1351	"L COIL/SLF12575,22uH,4A,SMD"		ROH	NA	21.28	4956269623
124659	ZSCR	551	035-1	0	A2C53309877T	NA	A2C00043939	618	1351	"9.844MHz,10ppm,NX5032SA,QUARTZ CRYSTAL/"		ROH	NA	1897.26	4956269579
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00045480	1	1351	"45R3,1%,TK100,250mW,1206,LIN RES/Thick F"		ROH	NA	0.03	4956269623
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00046516	9	1351	LF antenna driver for Passive Entry - Pa		ROH	NA	186.57	4956269623
124659	ZSCR	551	035-1	0	A2C53350875	NA	A2C00049463	1	1351	"PIC16C54CT, A1, SO18L, 8-bit, STD IC -"		ROH	NA	5.51	4956269663
124659	ZSCR	551	035-1	0	A2C53309877	NA	A2C00049621	5	1351	"PCF7952ATT/C1CC12, TSSOP24, ATIC37full,"		ROH	NA	116.75	4956269573
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C00050655	1	1351	"2,36V,160mOhm,PowerSSO-12,GENERAL PURPOS"		ROH	NA	3.2	4956269378
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C00050657	1	1351	"D5E160J-E/2,28V,160mOhm,PowerSSO-12,GE"		ROH	NA	3.23	4956269378
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C00050658	1	1351	"IC SMART POW/VNQ5E160K-E,PowerSSO-24,4,3"		ROH	NA	6.02	4956269378
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00053545	1	1351	"S9S12Q128VFUE1,OM66G,QFP80,FLASH,0bit,MI"		ROH	NA	21.4	4956269623
124659	ZSCR	551	035-1	0	A2C53350875	NA	A2C00054196	1	1351	"PIC16C54CT-04I, A1, SO18L, STD IC - MASK"		ROH	NA	5.51	4956269663
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C00055249	1	1351	"R LIN,1K,1%,TK100,500mW,1210"		ROH	NA	0.08	4956269378
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C00055984	1	1351	"IC SMART POW/MCZ33879A COSS Lite II,SOIC"		ROH	NA	10.67	4956269378
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40000663	1	1351	"T BIP/BCX52-16,SOT-89"		ROH	NA	0.65	4956269378
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40000683	1	1351	"IC MCU BLK/S9S08AW16A,A1,LQFP44,FLASH,8b"		ROH	NA	6.99	4956269378
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40001104	1	1351	IC MCU BLK/UPD70F3469M2GM(A1) (V850/E1-F		ROH	NA	54.53	4956269378
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40001126	1	1351	"R LIN,1K5,1%,TK100,330mW,1210"		ROH	NA	0.08	4956269378
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40001206	1	1351	"IC BUS DRIV/-,SO8"		ROH	NA	2.93	4956269378
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40001219	1	1351	"T BIP/PUMD2,SOT363"		ROH	NA	0.2	4956269378
