No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP		
143731	ZSCR	551	034-2	NA	5WK49308	NA	A2C53380225	1342	housing cover	NA	ROH	NA	551.88	S5_TXK_ (APROBACION AU	4957512985		
143733	ZSCR	551	034-2	NA	5WK49210	NA	A2C53190307	1342	circuit board assy	NA	HALB	S.Real	256.32	S5_RXM_ (APROBACION AU	4957511283		
143733	ZSCR	551	034-2	NA	5WK49210	NA	A2C53216755	1342	housing	NA	ROH	NA	73.38	S5_RXM_ (APROBACION AU	4957512906		
143734	ZSCR	551	022-2	NA	5WY9012	NA	A2C32880100	1222	module assy TPM	NA	HALB	S.Real/AutoBF	1170.87	S1_TIS1D_ (APROBACION	4957510324		
143741	ZSCR	551	022-2	NA	5WY9012	NA	A2C32880100	1222	module assy TPM	NA	HALB	S.Real/AutoBF	226.62	S1_TIS1D_ (APROBACION	4957510324		
143744	ZSCR	551	034-2	NA	5WY9011M	NA	A2C00062952	1342	"EX2-2K1J RELAY,POWER,TWIN,12V"	NA	ROH	NA	90.74	S1_TIPM MEDIUM_ (APROB	4957513324		
143745	ZSCR	551	030-1	NA	5WY9011M	NA	A2C53428222	1301	"PIN,SQUARE,BERYLLIUM-COPPER"	NA	ROH	NA	17.16	S1_TIPM MEDIUM_ (APROB	4957512784		
143746	ZSCR	551	034-2	NA	5WY8919	NA	A2C32144600	1342	MY12 SPDJB LOOP PROGRAM ASM MODEL B	NA	HALB	S.Real/AutoBF	292.26	S1_SPDJB_ (APROBACION	4957510537		
143747	ZSCR	551	040-2	NA	5WY8919	NA	A2C32118900	1402	"PCB, MY12 SPDJB W/LOOP ANTENNA ST DRV"	NA	ROH	NA	5188	S1_SPDJB_ (APROBACION	4957513659		
143748	ZSCR	551	030-1	NA	A2C53428272T	NA	A2C53428225	1301	PCB RIGID MY11 TIPM DV LOGIC PCB	NA	ROH	NA	421.76	S1_TIPM LOGIC_ (APROBA	4957512854		
143749	ZSCR	551	030-1	NA	A2C53428272T	NA	A2C53428225	1301	PCB RIGID MY11 TIPM DV LOGIC PCB	NA	ROH	NA	527.2	S1_TIPM LOGIC_ (APROBA	4957512854		
143752	ZSCR	551	040-2	NA	5WK49844	NA	A2C53278573	1402	antenna	NA	ROH	NA	21.31	S5_ANTENA_ENRIQUE GARCI	4957513644		
143754	ZSCR	551	030-1	NA	5WK49830	NA	A2C53335967B	1301	SMD Assy Fob Mobilio HP 4Bot(Bot)	NA	HALB	S.Real	81.56	S5_FOB ACURA 08_ENRIQUE	4957511172		
143755	ZSCR	551	034-2	NA	5WK49892	NA	A2C53248675	1342	Housing cover CHI/JPN trunk 3 buttons	NA	ROH	NA	12.22	S5_FOB ACURA 08_ENRIQUE	4957513171		
143756	ZSCR	551	040-3	NA	5WK49521	NA	A2C53248676	1403	inner housing	NA	ROH	NA	15.84	S5_FOB ACURA 08_ENRIQUE	4957513693		
143757	ZSCR	551	040-1	NA	5WK49830	NA	A2C53248676	1401	inner housing	NA	ROH	NA	2.64	S5_FOB ACURA 08_ENRIQUE	4957513587		
