No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Tipo	Tipo Sub	Doc. Header Tex	No.Docto.SAP
640608	11/07/2015	ZSCR	551	034-2	NA	'015	A2C8673350093	NA	A2C8673350093	1	1342	HALB	S.Real	S1_TIS 1D CHRYSLER_. (	4991916494
640609	11/07/2015	ZSCR	551	034-2	NA	'015	A2C81952900	NA	A2C8195290093	5	1342	HALB	S.Real	S1_TESLA TG ECU_. (APR	4991914625
640670	12/07/2015	ZSCR	551	040-3	NA	'015	A2C9609150093	NA	A2C9609150093	7	1403	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991916346
640689	12/07/2015	ZSCR	551	034-2	NA	'015	A2C8158270393	NA	A2C8158270393	1	1342	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914685
640705	12/07/2015	ZSCR	551	034-2	NA	'015	A2C8647920393	NA	A2C8647920393	48	1342	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914728
640867	13/07/2015	ZSCR	551	034-2	NA	'015	5WY8835	NA	A2C53328411	7	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914203
640888	13/07/2015	ZSCR	551	040-4	NA	'015	5WY8833	NA	A2C53338452	2	1404	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914476
640937	13/07/2015	ZSCR	551	034-2	NA	'015	5WY8834	NA	A2C53328412	9	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914214
640951	13/07/2015	ZSCR	551	040-3	NA	'015	A2C53328412	NA	A2C53328412	1	1403	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914440
640951	13/07/2015	ZSCR	551	040-3	NA	'015	A2C53338452	NA	A2C53338452	3	1403	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914462
641223	13/07/2015	ZSCR	551	034-2	NA	'015	A2C53410564S	NA	A2C53328412	5	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914214
641657	14/07/2015	ZSCR	551	034-2	NA	'015	A2C83143000	NA	A2C8314420093	2	1342	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991915261
641675	15/07/2015	ZSCR	551	030-1	NA	'050	A2C53338452T	NA	A2C53338452T	8	1301	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914274
642021	15/07/2015	ZSCR	551	034-2	NA	'015	A2C9337410093	NA	A2C9337410093	2	1342	HALB	S.Real	S1_TESLA TG ECU_. (APR	4991914637
642023	15/07/2015	ZSCR	551	034-2	NA	'015	A2C53328412	NA	A2C53328412	2	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914214
642024	15/07/2015	ZSCR	551	030-1	NA	'015	A2C53328412	NA	A2C53328412	4	1301	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914261
642254	16/07/2015	ZSCR	551	034-2	NA	'015	A2C8647920393	NA	A2C8647920393	13	1342	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914728
642256	16/07/2015	ZSCR	551	034-2	NA	'015	A2C53328412	NA	A2C53328412	1	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914214
