No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	Adp		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
451701	02/05/2014	ZSCR	551	040-2	NA	'045	A2C74024202	NA	A2C73966600	30	3011	45		1402	GM K2XX BCM ADHESIVE TRANSFER TAPE	NA	ROH	NA	58.2	S1_BCM K2XX_L.LUIS LIZA	NO	
451701	02/05/2014	ZSCR	551	040-2	NA	'045	A2C34710700	NA	A2C73614301	4	3011	45		1402	TOP_HOUSING_GLOBAL A BCM	NA	ROH	NA	34.44	S1_BCM K2XX_L.LUIS LIZA	NO	
451701	02/05/2014	ZSCR	551	040-2	NA	'045	A2C34710700	NA	A2C73614401	4	3011	45		1402	BOTTOM_HOUSING_GLOBAL A BCM	NA	ROH	NA	22.24	S1_BCM K2XX_L.LUIS LIZA	NO	
451701	02/05/2014	ZSCR	551	040-2	NA	'045	A2C34710700	NA	A2C34685500	30	3011	45		1402	GLOBAL A BCM PRINTED LABEL	NA	ROH	NA	18.6	S1_BCM K2XX_L.LUIS LIZA	NO	
451719	02/05/2014	ZSCR	551	040-2	NA	'045	5WG50282	NA	A2C53340509	1	3011	45		1402	"housing UPP 170,0x 180,0"	NA	ROH	NA	8.34	S4_PQ35 6ta Gen_. (APR	NO	
451732	02/05/2014	ZSCR	551	040-2	NA	'045	A2C82982100	NA	A2C82979500	2	3011	45		1402	pcb 4-lay 1353 main	NA	ROH	NA	91.02	S4_PQ35 6ta Gen_. (APR	NO	
451746	02/05/2014	ZSCR	551	040-3	NA	'045	5WG50529	NA	A2C53221115	2	3011	45		1403	housing BK	NA	ROH	NA	34.46	S4_PQ25 LP3_. (APROBAC	NO	4978261977
451816	02/05/2014	ZSCR	551	040-2	NA	'045	5WK49608C	NA	A2C53358639	14	3011	45		1402	contact spring	NA	ROH	NA	6.44	S2_KEY FOB_A.ANTONIO AL	NO	
452064	02/05/2014	ZSCR	551	022-2	NA	'045	A2C53181416T	NA	A2C53181416T	2	3011	45		1222	circuit board assy 433 MHz TOP	NA	HALB	S.Real	256.06	S1_EZKEY_L.LUIS LIZARRA	NO	
452069	02/05/2014	ZSCR	551	022-2	NA	'045	5WY7150	NA	6598142113	6	3011	45		1222	"295 PCB, ECU EASY KEY"	NA	ROH	NA	102	S1_EZKEY_L.LUIS LIZARRA	NO	
452120	02/05/2014	ZSCR	551	022-2	NA	'045	5WY8808	NA	A2C53283863	3	3011	45		1222	GM EZ Key CTS wagon 4B Keypad	NA	ROH	NA	131.46	S1_EZKEY_L.LUIS LIZARRA	NO	
452141	02/05/2014	ZSCR	551	022-2	NA	'045	A2C31243600	NA	A2C31227000	4	3011	45		1222	keypad	NA	ROH	NA	8.08	S1_PK MY 13 FORD_M.MANU	NO	
452152	02/05/2014	ZSCR	551	040-3	NA	'045	A2C90248400	NA	A2C90248900	1	3011	45		1403	control device	NA	ROH	NA	62.75	S2_NIMOCO RECEIVER NISZ	NO	
452154	02/05/2014	ZSCR	551	040-2	NA	'045	5WY8770	NA	A2C80613000	2	3011	45		1402	Key pad 5 buttons	NA	ROH	NA	14.22	S1_PEPS_J.JAVIER BECERR	NO	
452166	02/05/2014	ZSCR	551	030-1	NA	'045	A2C53438510	NA	A2C53438510	6	3011	45		1301	Housing UPP BK IHM	NA	ROH	NA	344.1	S4_PQ25 LP3_. (APROBAC	NO	
452183	02/05/2014	ZSCR	551	040-1	NA	'045	A2C74024202	NA	A2C73966600	6	3011	45		1401	GM K2XX BCM ADHESIVE TRANSFER TAPE	NA	ROH	NA	11.64	S1_BCM K2XX_L.LUIS LIZA	NO	
452183	02/05/2014	ZSCR	551	040-1	NA	'045	A2C34710700	NA	A2C34685500	2	3011	45		1401	GLOBAL A BCM PRINTED LABEL	NA	ROH	NA	1.24	S1_BCM K2XX_L.LUIS LIZA	NO	
452188	02/05/2014	ZSCR	551	040-2	NA	'045	A2C34710700	NA	A2C73614401	4	3011	45		1402	BOTTOM_HOUSING_GLOBAL A BCM	NA	ROH	NA	22.24	S1_BCM K2XX_L.LUIS LIZA	NO	
452200	02/05/2014	ZSCR	551	040-1	NA	'045	S180064002	NA	A2C53114671	4	3011	45		1401	housing	NA	ROH	NA	11.28	S2_FOB READER_A.ANTONIO	NO	
452202	02/05/2014	ZSCR	551	040-2	NA	'045	5WY7700	NA	A2C53117565	3	3011	45		1402	pin header 12P H 2R THP BK	NA	ROH	NA	10.47	S2_FOB READER_A.ANTONIO	NO	
