No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00010733	12	3011	050		1351	"0R051,250mW,2.21A,5nH,1206,SHUNT/WSL"		ROH	NA	17.4	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00010733	1	3011	050		1351	"0R051,250mW,2.21A,5nH,1206,SHUNT/WSL"		ROH	NA	1.45	ES_V8 V10_NA	4958241471
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00010733	2	3011	050		1351	"0R051,250mW,2.21A,5nH,1206,SHUNT/WSL"		ROH	NA	2.9	ES_V8 V10_NA	4958241255
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00010733	12	3011	050		1351	"0R051,250mW,2.21A,5nH,1206,SHUNT/WSL"		ROH	NA	17.4	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00010733	1	3011	050		1351	"0R051,250mW,2.21A,5nH,1206,SHUNT/WSL"		ROH	NA	1.45	ES_V8 V10_NA	4958241471
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00010739	590	3011	050		1351	"10nF,10%,16V,X7R,0402,TINNED,CER CAP/"		ROH	NA	5.9	ES_V8 V10_NA	4958241255
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00010739	590	3011	050		1351	"10nF,10%,16V,X7R,0402,TINNED,CER CAP/"		ROH	NA	5.9	ES_V8 V10_NA	4958241255
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00011220	348	3011	050		1351	"33K2,1%,TK100,63mW,0402,LIN RES/"		ROH	NA	3.48	ES_V8 V10_NA	4958241255
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00011220	348	3011	050		1351	"33K2,1%,TK100,63mW,0402,LIN RES/"		ROH	NA	3.48	ES_V8 V10_NA	4958241255
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00018230	24	3011	050		1351	"400V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	4.08	ES_V8 V10_NA	4958241255
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00018230	1	3011	050		1351	"400V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	0.17	ES_V8 V10_NA	4958241531
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00018230	24	3011	050		1351	"400V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	4.08	ES_V8 V10_NA	4958241255
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00018230	1	3011	050		1351	"400V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	0.17	ES_V8 V10_NA	4958241531
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00018438	1036	3011	050		1351	"220K,5%,TK200,63mW,0402,LIN RES/"		ROH	NA	10.36	ES_V8 V10_NA	4958241284
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00018438	1036	3011	050		1351	"220K,5%,TK200,63mW,0402,LIN RES/"		ROH	NA	10.36	ES_V8 V10_NA	4958241284
