area,tecnologia,defecto,causa,division,proyecto
BACKEND/ENSAMBLE FINAL,DTA,PRUEBA DE INGENIERIA,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,SET UP DE EQUIPO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,UNIDAD CAIDA AL PISO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,UNIDAD CAIDA AL PISO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,CONECTOR MANCHADO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,CONECTOR MANCHADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,EMPAQUE,UNIDAD DAÑADA,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,EMPAQUE,UNIDAD DAÑADA,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,EMPAQUE,UNIDAD DAÑADA,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,EMPAQUE,UNIDAD DAÑADA,PROVEEDOR,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,EMPAQUE,PIN DE CONECTOR SUMIDO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,EMPAQUE,COMPONENTE DAÑADO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,EMPAQUE,COMPONENTE DAÑADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,EMPAQUE,MATERIAL OBSOLETO,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,EMPAQUE,PRUEBA DE INGENIERIA,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,EMPAQUE,UNIDAD CAIDA AL PISO,MANO DE OBRA,PSAD,HYUNDAI
