No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	´015	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
566677	#########	ZSCR	551	050-1	NA	'015	A2C95198900	NA	A2C73751300	1	3011	015	 	1501	Latch Spring	NA	ROH	NA	0.1	S1_CUSW UF RFHM_A.ADRIA	NO		
566677	#########	ZSCR	551	050-1	NA	'015	A2C86023300	NA	A2C73751400	2	3011	015	 	1501	pad Vent	NA	ROH	NA	2.52	S1_CUSW UF RFHM_A.ADRIA	NO		
566677	#########	ZSCR	551	050-1	NA	'015	A2C85886800	NA	A2C85519800	1	3011	015	 	1501	contact spring Spring	NA	ROH	NA	0.11	S1_CUSW UF RFHM_A.ADRIA	NO	4985766525	
566769	#########	ZSCR	551	040-1	NA	'015	A2C86022500	NA	A2C8730220093	1				1401	pcb assy RKE 433 w/oKG Var#3	NA	HALB	S.Real	147.65	S1_CUSW UF RFHM_A.ADRIA	NO	4985702646	
566784	#########	ZSCR	551	040-2	NA	'015	A2C74493401	NA	A2C7449340193	1				1402	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO	4985702225	
566815	#########	ZSCR	551	050-5	NA	'AEES	A2C53428271	NA	A2C53428271	3				1505	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	672.93	S1_TIMP-JUAREZ_M.MARIO	NO	4985764794	
566815	#########	ZSCR	551	050-5	NA	'AEES	A2C73658000	NA	A2C73658000	14				1505	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	2934.12	S1_TIMP-JUAREZ_M.MARIO	NO	4985764823	
566818	#########	ZSCR	551	050-5	NA	'AEES	A2C53428271	NA	A2C53428271	10				1505	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	2243.1	S1_TIMP-JUAREZ_M.MARIO	NO	4985764794	
566818	#########	ZSCR	551	050-5	NA	'AEES	A2C73658000	NA	A2C73658000	15				1505	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	3143.7	S1_TIMP-JUAREZ_M.MARIO	NO	4985764823	
566820	#########	ZSCR	551	050-5	NA	'AEES	A2C30889500	NA	A2C30889500	4				1505	TOTAL INTEGRATED POWER MODULE MEDIUM	NA	HALB	S.Real	979.84	S1_TIMP-JUAREZ_M.MARIO	NO	4985764747	
566820	#########	ZSCR	551	050-5	NA	'AEES	A2C53428271	NA	A2C53428271	6				1505	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	1345.86	S1_TIMP-JUAREZ_M.MARIO	NO	4985764794	
566820	#########	ZSCR	551	050-5	NA	'AEES	A2C73658000	NA	A2C73658000	22				1505	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	4610.76	S1_TIMP-JUAREZ_M.MARIO	NO	4985764823	
