No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	planta	APD	Espacio	Reason Code	Descripción	g	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
544404	03/11/2014	ZSCR	551	030-1	NA	'054	A2C86816700	NA	A2C8681670093	6	3011	054	 	1301	pcb assy DAGARM3 V18EDR TOP	1	HALB	S.Real	2729.82	PS_ARAMIS III_E.EDWIN R	NO	
544411	03/11/2014	ZSCR	551	030-1	NA	'054	A2C92704001	NA	A2C83317201	12	3011	054	 	1301	pcb 6-lay DAGSTR2ISC	3	ROH	NA	300.12	PSAD_DAIMLER STAR 2_A.A	NO	
544418	03/11/2014	ZSCR	551	030-1	NA	'054	A2C92704001	NA	A2C83317201	12	3011	054	 	1301	pcb 6-lay DAGSTR2ISC	3	ROH	NA	300.12	PSAD_DAIMLER STAR 2_A.A	NO	
544424	03/11/2014	ZSCR	551	040-3	NA	'054	A2C85901111	NA	A2C87057001	1	3011	054	 	1403	pcb assy DAGSTAR2 D_18	6	HALB	S.Real	420.33	PSAD_DAIMLER STAR 2_A.A	NO	
544425	03/11/2014	ZSCR	551	040-3	NA	'054	A2C86816802	NA	A2C86617100	1	3011	054	 	1403	pcb assy DAGARM3 RO V17EDR	8	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO	
544436	03/11/2014	ZSCR	551	040-1	NA	'054	A2C8021770003	NA	A2C8021770003	1	3011	054	 	1401	pcb assy HONHRS6 D_20_SW	8	HALB	S.Real	307.48	PS_HONDA HRS6_J.JUAN CH	NO	
544437	03/11/2014	ZSCR	551	050-1	NA	'054	A2C8021770003	NA	A2C8021770003	1	3011	054	 	1501	pcb assy HONHRS6 D_20_SW	8	HALB	S.Real	307.48	PS_HONDA HRS6_J.JUAN CH	NO	
544449	03/11/2014	ZSCR	551	040-3	NA	'054	A2C91764400	2800	A2C91764400	1	3011	054	 	1403	ACU MY14 S15 18 XX 0 1 0 000	46	FERT	NA	441.94	PS_SDM30_.	NO	
544451	03/11/2014	ZSCR	551	040-1	NA	'054	A2C8021770003	NA	A2C8021770003	1	3011	054	 	1401	pcb assy HONHRS6 D_20_SW	8	HALB	S.Real	307.48	PS_HONDA HRS6_J.JUAN CH	NO	
544453	03/11/2014	ZSCR	551	040-3	NA	'054	A2C91764100	2800	A2C91764100	1	3011	054	 	1403	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	33	FERT	NA	313.1	PS_SDM30_.	NO	
544454	03/11/2014	ZSCR	551	034-2	NA	'054	A2C91764100	2800	A2C91764100	2	3011	054	 	1342	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	33	FERT	NA	626.2	PS_SDM30_.	NO	
544466	03/11/2014	ZSCR	551	034-2	NA	'054	A2C91764200	NA	A2C40000025	1	3011	054	 	1342	"C ELEC,AL,6.8mF,20%,35V"	10	ROH	NA	6.83	PS_SDM30_.	NO	
544466	03/11/2014	ZSCR	551	034-2	NA	'054	A2C91764200	NA	A2C53338471	2	3011	054	 	1342	contact element	10	ROH	NA	2.04	PS_SDM30_.	NO	
544466	03/11/2014	ZSCR	551	034-2	NA	'054	A2C91764200	NA	A2C53395715	1	3011	054	 	1342	housing WIC P BK A-B	10	ROH	NA	34.8	PS_SDM30_.	NO	
544466	03/11/2014	ZSCR	551	034-2	NA	'054	A2C91764200	NA	A2C92598000	1	3011	054	 	1342	cover FIP T BK Laser Weld	10	ROH	NA	2.48	PS_SDM30_.	NO	
544475	03/11/2014	ZSCR	551	034-2	NA	'054	5WK43025	NA	6593331401	100	3011	054	 	1342	ETIQUETA DE IDENTIFIC. HONDA	3	ROH	NA	26	PS_HONDA HRS6_J.JUAN CH	NO	
544475	03/11/2014	ZSCR	551	034-2	NA	'054	5WK43242	NA	6593571403	2	3011	054	 	1342	ETIQUETA C/ROTULO DE ADVERTENC s/d	2	ROH	NA	1.62	PS_HONDA HRS6_J.JUAN CH	NO	
544476	03/11/2014	ZSCR	551	034-2	NA	'054	5WK44781	NA	A2C00014697	80	3011	054	 	1342	sticker	4	ROH	NA	40.8	PS_VW10 LC_U.ULISES VIL	NO	
544478	03/11/2014	ZSCR	551	034-2	NA	'054	5WK44120	NA	A2C53324560	150	3011	054	 	1342	certification label spool part p	4	ROH	NA	75	PS_ARAMIS III_E.EDWIN R	NO	
544485	03/11/2014	ZSCR	551	040-3	NA	'054	A2C32453912	3	A2C32453912	1	3011	054	 	1403	ACU DAGSTAR2 MY12 S15 24 08 0 1 0 000	2	FERT	NA	425.24	PSAD_DAIMLER STAR 2_A.A	NO	
544491	03/11/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C81543200	1	3011	054	 	1401	pcb assy	16	HALB	S.Real	415.2	PS_ARAMIS 2013_E.EDWIN	NO	
544492	03/11/2014	ZSCR	551	040-1	NA	'054	A2C8021770004	NA	A2C8021770004	1	3011	054	 	1401	pcb assy HONHRS6 D_20 REV 4	4	HALB	S.Real	307.48	PS_HONDA HRS6_J.JUAN CH	NO	
544493	03/11/2014	ZSCR	551	040-1	NA	'054	A2C90500300	NA	A2C90247200	1	3011	054	 	1401	pcb assy HONHRS6 D_14	1	HALB	S.Real	173.22	PS_HONDA HRS6_J.JUAN CH	NO	
