No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID		Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00059117	1	1351	"5R6,1%,TK50,100mW,0603,LIN RES/"		ROH	NA	0.05	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00037882	37	1351	"R LIN,2K4,1%,TK100,63mW,0402"		ROH	NA	0.37	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00563300	13	1351	"MMSZ4681/-,2.4V,500mW,SOD-123"		ROH	NA	1.95	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00007695	351	1351	"2,NPN,RET,100mA,50V,SOT363,BIP/BCR135/R<"		ROH	NA	52.65	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00000407	3	1351	"40V,1A,1,SCHOTTKY,DO214AC,RECT DIODE/SS1"		ROH	NA	0.66	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00060691	46	1351	"T BIP/BCR35PN or PUMD9,SOT363"		ROH	NA	6.9	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00022031	85	1351	"4,EQ ISO,konvex 1206,7K5,1%,63mW,NET RES"		ROH	NA	4.25	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00004349	159	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	1.59	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00010918	8	1351	"R LIN,100K,1%,TK100,63mW,0402"		ROH	NA	0.08	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00000380	33	1351	"600V,3A,1,STANDARD,SMC DO214AB,RECT DIOD"		ROH	NA	16.5	PS_SDM30_L.LPL AUTOMATI	NO	
