No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
624108	26/05/2015	ZSCR	551	040-1	NA	'054	6592827601V02	NA	A2C53287874	1	3011	054	 	1401	pcb assy	NA	HALB	S.Real	57.44	OC_OCS NISSAN_A.ANA TAP	NO	4990393744
624212	26/05/2015	ZSCR	551	035-1	0	'054	A2C53364457A	NA	A2C00033760	8	3011	054	 	1351	"220nF,10%,50V,X7R,0805,Sn,CER CAP/GCM"		ROH	NA	0.48	OC_BOSE VW_A.APROBACION	NO	
624212	26/05/2015	ZSCR	551	035-1	0	'054	A2C53395077	NA	A2C00033760	38	3011	054	 	1351	"220nF,10%,50V,X7R,0805,Sn,CER CAP/GCM"		ROH	NA	2.28	OC_BOSE VW_A.APROBACION	NO	
624212	26/05/2015	ZSCR	551	035-1	0	'054	A2C53395077	NA	A2C00045434	15	3011	054	 	1351	"68uF,20%,25V,SMD,SAL,ELEC CAP/"		ROH	NA	8.1	OC_BOSE VW_A.APROBACION	NO	
624212	26/05/2015	ZSCR	551	035-1	0	'054	A2C53364457A	NA	A2C00055943	9	3011	054	 	1351	"1M2,1%,TK100,125mW,0805,LIN RES/Compact"		ROH	NA	0.09	OC_BOSE VW_A.APROBACION	NO	
624212	26/05/2015	ZSCR	551	035-1	0	'054	A2C53395077	NA	A2C00056638	20	3011	054	 	1351	"500W,5V,SOD323, SC76,SUP DIODE/PESD5VOL1"		ROH	NA	8	OC_BOSE VW_A.APROBACION	NO	
624213	26/05/2015	ZSCR	551	035-1	0	'054	A2C9449080093	NA	A2C00004349	3	3011	054	 	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.03	PS_HONDA HRS5_A.APROBAC	NO	
624213	26/05/2015	ZSCR	551	035-1	0	'054	A2C53399617A	NA	A2C00006616	1	3011	054	 	1351	"R LIN,7K5,5%,TK200,63mW,0402"		ROH	NA	0.01	PS_HONDA HRS5_A.APROBAC	NO	
624213	26/05/2015	ZSCR	551	035-1	0	'054	A2C53399617B	NA	A2C00006616	7	3011	054	 	1351	"R LIN,7K5,5%,TK200,63mW,0402"		ROH	NA	0.07	PS_HONDA HRS5_A.APROBAC	NO	
624213	26/05/2015	ZSCR	551	035-1	0	'054	A2C9449080092	NA	A2C00011220	1	3011	054	 	1351	"R LIN,33K2,1%,TK100,63mW,0402"		ROH	NA	0.01	PS_HONDA HRS5_A.APROBAC	NO	
624213	26/05/2015	ZSCR	551	035-1	0	'054	A2C53399617B	NA	A2C00011220	1	3011	054	 	1351	"R LIN,33K2,1%,TK100,63mW,0402"		ROH	NA	0.01	PS_HONDA HRS5_A.APROBAC	NO	
624213	26/05/2015	ZSCR	551	035-1	0	'054	A2C5339962993	NA	A2C00039667	1	3011	054	 	1351	"22K,0.1%,TK25,100mW,0603,LIN RES/"		ROH	NA	0.29	PS_HONDA HRS5_A.APROBAC	NO	
624213	26/05/2015	ZSCR	551	035-1	0	'054	A2C53399617A	NA	A2C00055568	10	3011	054	 	1351	"TMS470PVF247BBPZ,A1,PQFP100,FLASH,32bit,"		ROH	NA	318.2	PS_HONDA HRS5_A.APROBAC	NO	
624213	26/05/2015	ZSCR	551	035-1	0	'054	A2C9449080092	NA	A2C40002657	12	3011	054	 	1351	"D SUP/MMBZ27VDA,SOT23"		ROH	NA	1.44	PS_HONDA HRS5_A.APROBAC	NO	
624213	26/05/2015	ZSCR	551	035-1	0	'054	A2C53399617A	NA	A2C40002657	6	3011	054	 	1351	"D SUP/MMBZ27VDA,SOT23"		ROH	NA	0.72	PS_HONDA HRS5_A.APROBAC	NO	
