Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc.HeaderTex	No.Docto.SAP
ZSCR	551	035-1	0	A2C53338452T	NA	A2C00018230	66	1351	"400V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	11.22	S1DCU	4957734852
ZSCR	551	035-1	0	A2C53328412B	NA	A2C00030938	50	1351	"4,EQ ISO,konvex 1206,1K,5%,63mW,NET RES/"		ROH	NA	2.5	S1DCU	4957734835
ZSCR	551	035-1	0	A2C53328412B	NA	A2C00034366	24	1351	"2,60V,1.8Ohm,SC74,Relay Driver for coils"		ROH	NA	14.88	S1DCU	4957734835
ZSCR	551	035-1	0	A2C53338452T	NA	A2C00034366	66	1351	"2,60V,1.8Ohm,SC74,Relay Driver for coils"		ROH	NA	40.92	S1DCU	4957734852
ZSCR	551	035-1	0	A2C53338452T	NA	A2C00045398	32	1351	"NCV7420D25, TRANSCEIVER,LIN 2.0,SO14,BUS"		ROH	NA	114.56	S1DCU	4957734852
ZSCR	551	035-1	0	A2C8058480093	NA	A2C00064595	11	1351	"SEN/SP37 A4 450kPa Villach+Horten,ATIC12"		ROH	NA	254.65	S1RKEFOBCUSW	4957734943
ZSCR	551	034-2	NA	5WK49210	NA	A2C53216753	1	1342	COVER	NA	ROH	NA	1.79	S5RXMJORGEAGUILAR	4957735137
ZSCR	551	034-2	NA	5WK49210	NA	A2C53216755	1	1342	housing	NA	ROH	NA	21.32	S5RXMJORGEAGUILAR	4957735137
ZSCR	551	030-1	NA	A2C53190307-B	NA	A2C53259651	15	1301	pcb HONDA ZZDIV	NA	ROH	NA	103.65	S5RXMJORGEAGUILAR	4957734543
ZSCR	551	030-1	NA	A2C53295352	NA	A2C53253118	20	1301	pcb panel 1-up	NA	ROH	NA	379.8	S5FOBACURA08ENRIQUE	4957734570
ZSCR	551	030-1	NA	A2C53249259B	NA	A2C53216585	4	1301	pcb panel multiple 4-up	NA	ROH	NA	93.24	S5ECU08ENRIQUEGARCI	4957734554
ZSCR	551	034-1	NA	5WK49393	NA	A2C53242675	5	1341	housing cover	NA	ROH	NA	8.7	S5INMMOJORGEAGUILAR	4957734956
ZSCR	551	034-1	NA	5WK49393	NA	A2C53242676	5	1341	antenna HONDA ZZDIV	NA	ROH	NA	128.65	S5INMMOJORGEAGUILAR	4957734956
ZSCR	551	030-1	NA	5WY9011M	NA	A2C53428219	214	1301	"COMP,26-WAY DL R BRD TO BRD"	NA	ROH	NA	14.98	S1TIPMMEDIUMPABLOPA	4957734458
ZSCR	551	034-2	NA	5WK47832	NA	A2C00045607	5	1342	"220uF,20%,50V,SMD,AL,ELEC CAP/"	NA	ROH	NA	5.85	S5TGECUJORGEAGUILAR	4957735075
ZSCR	551	034-2	NA	5WK49210	NA	A2C00041005	83	1342	"uPD78F0889GB(A)-GAH,V3.0,LQFP64 (10x10),"	NA	ROH	NA	1261.6	S5RXMJORGEAGUILAR	4957735137
ZSCR	551	034-2	NA	5WK49210	NA	A2C00045383	14	1342	"220uF,20%,16V,SMD,AL,ELEC CAP/"	NA	ROH	NA	12.88	S5RXMJORGEAGUILAR	4957735137
ZSCR	551	030-1	NA	5WY9011M	NA	A2C00062952	8	1301	"EX2-2K1J RELAY,POWER,TWIN,12V"	NA	ROH	NA	55.6	S1TIPMMEDIUMPABLOPA	4957734458
ZSCR	551	030-1	NA	5WY9011M	NA	A2C40018533	58	1301	"EM RELAY,TBD,SINGLE,12V"	NA	ROH	NA	221.56	S1TIPMMEDIUMPABLOPA	4957734458
ZSCR	551	030-1	NA	5WY9011M	NA	A2C00062952	40	1301	"EX2-2K1J RELAY,POWER,TWIN,12V"	NA	ROH	NA	278	S1TIPMMEDIUMPABLOPA	4957734458
ZSCR	551	030-1	NA	5WY9011M	NA	A2C53428219	313	1301	"COMP,26-WAY DL R BRD TO BRD"	NA	ROH	NA	21.91	S1TIPMMEDIUMPABLOPA	4957734458
ZSCR	551	030-1	NA	A2C53428272	NA	A2C53428198	270	1301	"PIN,SPD TERM Z02 VERISON"	NA	ROH	NA	70.2	S1TIPMLOGICPABLOPAL	4957734661
ZSCR	551	030-1	NA	A2C53428272	NA	A2C53428199	430	1301	"PIN,NAT"	NA	ROH	NA	34.4	S1TIPMLOGICPABLOPAL	4957734661
