No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
646751	29/07/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	NA	HALB	S.Real	175.99	PS_VW10 LC_. (APROBACI	NO	4992174752			
646752	29/07/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C00023541	2	3011	054	 	1301	"2.2mF,20%,35V,HOL,AL,ELEC CAP/AIRBAG"	NA	ROH	NA	4.52	PS_VW10 LC_. (APROBACI	NO	4992174752			
646752	29/07/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	NA	HALB	S.Real	175.99	PS_VW10 LC_. (APROBACI	NO	4992174752			
646776	29/07/2015	ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53364457	1				1342	pcb assy	NA	HALB	S.Real/AutoBF	103.53	OC_BOSE VW_A.ANA TAPIA-	NO	4992174162			
646779	29/07/2015	ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53364457	1				1342	pcb assy	NA	HALB	S.Real/AutoBF	103.53	OC_BOSE VW_A.ANA TAPIA-	NO	4992174162			
646780	29/07/2015	ZSCR	551	050-3	NA	'054	A2C89730900	NA	A2C8021660002	3				1503	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	951.15	PS_HONDA HRS6_J.JUAN CH	NO	4992174275			
646781	29/07/2015	ZSCR	551	040-3	NA	'054	A2C81542400		A2C81542400	1				1403	ACU CHRJC MY13 M30 09 02 0 0 0 000	NA	FERT	NA	313.51	PS_HONDA HRS6_J.JUAN CH	NO	4992173149			
646782	29/07/2015	ZSCR	551	040-5	NA	'054	A2C32453912	NA	A2C35116101	1	3011	054	 	1405	pcb assy DAGSTAR2 D_12	NA	HALB	S.Real	394.8	PSAD_DAIMLER STAR 2_A.A	NO	STOCK			
646783	29/07/2015	ZSCR	551	040-1	NA	'054	A2C32453912	NA	A2C35116101	1	3011	054	 	1401	pcb assy DAGSTAR2 D_12	NA	HALB	S.Real	394.8	PSAD_DAIMLER STAR 2_A.A	NO	STOCK			
646893	29/07/2015	MB1A	951	025-3	NA	'054	NA	2800	A2C91739500	13				1253	ACU HONHRS5 MY15 S10 09 04 0 0 0 000	VUG020301	FERT	NA	3268.46	PS_HONDA HRS5_.	NO	4992172727			
