No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
120315	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4956143913
120317	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	6	1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	311.94	4956143853
120319	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	2	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	101.96	4956143913
120321	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4956143853
120324	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4956143913
120327	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real/AutoBF	51.99	4956144024
120329	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4956143913
120331	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4956143913
120337	ZSCR	551	040-2	NA	S180143002	NA	A2C53365040	109	1402	housing bottom	NA	ROH	NA	104.64	4956143433
120596	ZSCR	551	030-1	NA	5WY7700	NA	A2C53184512	1	1301	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	39.3	4956143987
120600	ZSCR	551	030-1	NA	5WK49612C	NA	A2C53297309T	120	1301	SMD Subassy NIS US 315 M 2bundle	NA	HALB	S.Real/AutoBF	3369.6	4956144163
120625	ZSCR	551	034-1	NA	5WY7700	NA	A2C53114671	8	1341	housing	NA	ROH	NA	22.4	4956143678
120625	ZSCR	551	034-1	NA	5WY7700	NA	A2C53117319	5	1341	bracket	NA	ROH	NA	18.3	4956143678
120625	ZSCR	551	034-1	NA	5WY7700	NA	A2C53124003	8	1341	sticker	NA	ROH	NA	1.36	4956143678
120625	ZSCR	551	034-1	NA	5WY7700	NA	A2C53141571	4	1341	housing assy NIS D-PLAT	NA	ROH	NA	128.88	4956143678
120629	ZSCR	551	040-1	NA	S180039013	NA	A2C53293984	18	1401	pcb TLS_RECEIVE	NA	ROH	NA	66.42	4956143513
120718	ZSCR	551	030-1	NA	5WY7700	NA	A2C53117474T	1	1301	Subassy Nissan D Fob Reader Top	NA	HALB	S.Real	25.66	4956143925
120719	ZSCR	551	030-1	NA	5WY7700	NA	A2C53117474T	1	1301	Subassy Nissan D Fob Reader Top	NA	HALB	S.Real	25.66	4956143925
120720	ZSCR	551	030-1	NA	S180039015	NA	A2C53212570	1	1301	circuit board assy RF Tuner EUR	NA	HALB	S.Real	49.45	4956143942
120721	ZSCR	551	030-1	NA	S180039013	NA	A2C53294661	1	1301	circuit board assy TLS_RF_TUN	NA	HALB	S.Real	55.86	4956143932
120722	ZSCR	551	034-3	NA	S180039013	NA	A2C53121775	1	1343	housing	NA	ROH	NA	1.68	4956143582
120723	ZSCR	551	040-2	NA	S180039013	NA	A2C53121776	2	1402	cover	NA	ROH	NA	2.36	4956143425
120728	ZSCR	551	040-2	NA	5WY7700	NA	A2C53114671	1	1402	housing	NA	ROH	NA	2.8	4956143418
120728	ZSCR	551	040-2	NA	5WY7700	NA	A2C53124003	1	1402	sticker	NA	ROH	NA	0.17	4956143418
120728	ZSCR	551	040-2	NA	5WY7700	NA	A2C53184512	1	1402	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	39.3	4956143469
120729	ZSCR	551	040-1	NA	5WY7700	NA	A2C53184512	1	1401	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	39.3	4956143559
