No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Parte Padre 2	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
671380	09/10/2015	ZSCR	551	040-3	NA	'054	5WK43952	5WK43952	#N/A	A2C53371768	3	3011	054	 	1403	cover FIP T GY	5	ROH	NA	9.03	PS_ARAMIS III_. (APROB	NO	
671406	09/10/2015	ZSCR	551	040-1	NA	'054	5WK43767	5WK43767	#N/A	A2C00013374	0.001	3011	054	 	1401	protective laquer BECTRON PK4340	1	ROH	NA	0.41	PSAD_DAIMLER STAR2_ISC_	NO	
671406	09/10/2015	ZSCR	551	040-1	NA	'054	A2C92704001	A2C92704001	#N/A	A2C96631600	1	3011	054	 	1401	pcb assy DAGSTAR2 ISC with SW	179	HALB	S.Real	411.05	PSAD_DAIMLER STAR2_ISC_	NO	4995019292
671408	09/10/2015	ZSCR	551	040-5	NA	'054	A2C92704001	A2C92704001	#N/A	A2C91600800	3	3011	054	 	1405	multipoint connector124/ 76P H 2SYS 1018	179	ROH	NA	155.04	PSAD_DAIMLER STAR2_ISC_	NO	4995019292
671410	09/10/2015	ZSCR	551	040-5	NA	'054	A2C92704001	A2C92704001	#N/A	A2C91600800	2	3011	054	 	1405	multipoint connector124/ 76P H 2SYS 1018	179	ROH	NA	103.36	PSAD_DAIMLER STAR2_ISC_	NO	4995019292
671412	09/10/2015	ZSCR	551	040-2	NA	'054	A2C82134700	A2C82134700	#N/A	A2C40000025	2	3011	054	 	1402	"C ELEC,AL,6.8mF,20%,35V"	10	ROH	NA	16.76	PS_SDM30_.	NO	4995021122
671412	09/10/2015	ZSCR	551	040-2	NA	'054	A2C82134700	A2C82134700	#N/A	A2C53338471	2	3011	054	 	1402	contact element	10	ROH	NA	2.2	PS_SDM30_.	NO	4995021122
671412	09/10/2015	ZSCR	551	040-2	NA	'054	A2C82134700	A2C82134700	#N/A	A2C53395715	1	3011	054	 	1402	housing WIC P BK A-B	10	ROH	NA	48.55	PS_SDM30_.	NO	4995021122
671413	09/10/2015	ZSCR	551	035-1	NA	'054	5WK44058	5WK44058	08	A2C53324560	120	3011	054	 	1351	certification label spool part p	7	ROH	NA	63.6	PS_ARAMIS III_.	NO	
671506	09/10/2015	ZSCR	551	040-3	NA	'054	5WK44291	5WK44291	#N/A	A2C53395078	2	3011	054	 	1403	pcb assy	13	HALB	S.Real	162.22	OC_BOSE VW_A.ANA TAPIA-	NO	4995020330
