No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
184546	28/07/2012	ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53355144	5	1342	housing	NA	ROH	NA	20.2	OC_BOSE VW_GERARDO ECHE	NO	4959975241
184379	27/07/2012	ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53355145	2	1342	front plate	NA	ROH	NA	47.76	OC_BOSE VW_GERARDO ECHE	NO	4959975241
184381	27/07/2012	ZSCR	551	040-1	NA	'054	5WK44562	NA	A2C80217300	1	1401	pcb assy HONHRS6 V06	NA	HALB	S.Real	207.72	PS_HONDA HRS6_GERARDO E	NO	4959974861
184383	27/07/2012	ZSCR	551	034-2	NA	'054	5WK44252		5WK44252	1	1342	BoSe VW311	NA	FERT	NA	125.9	OC_BOSE VW_GERARDO ECHE	NO	4959975176
184385	27/07/2012	ZSCR	551	034-2	NA	'054	5WK4167	NA	6592312076	8	1342	"24V, 2KW, P600 THT PACKAGE, SU"	NA	ROH	NA	27.36	PS_HONDA ACCORD_GERARDO	NO	4959975204
184386	27/07/2012	ZSCR	551	040-1	NA	'054	5WK44285	NA	A2C53367544	1	1401	ACU VW10 MY10 8 RdW	NA	HALB	S.Real	226	PS_VW10 LC_GERARDO ECHE	NO	4959974835
184397	27/07/2012	ZSCR	551	030-1	NA	'054	A2C81542300	NA	A2C53388687	1	1301	circuit board assy	NA	HALB	S.Real	390.78	PS_ARAMIS 2013_GERARDO	NO	4959975048
184399	27/07/2012	ZSCR	551	030-1	NA	'054	A2C81542300	NA	A2C53388687	1	1301	circuit board assy	NA	HALB	S.Real	390.78	PS_ARAMIS 2013_GERARDO	NO	4959975048
184417	27/07/2012	ZSCR	551	034-2	NA	'054	5WK44421	NA	A2C53397769	12	1342	housing	NA	ROH	NA	279.72	PS_HONDA HRS5_GERARDO E	NO	4959975281
184449	27/07/2012	ZSCR	551	034-2	NA	'054	5WK44600	NA	A2C80216600	1	1342	pcb assy HONHRS6 V04	NA	HALB	S.Real	357.49	PS_HONDA HRS6_GERARDO E	NO	4959974875
184472	27/07/2012	ZSCR	551	034-2	NA	'054	5WK44285	NA	A2C00014717	15	1342	"pan head screw SF-M4 x 10,00 1241"	NA	ROH	NA	3.6	PS_VW10 LC_GERARDO ECHE	NO	4959975249
184472	27/07/2012	ZSCR	551	034-2	NA	'054	5WK44285	NA	A2C00027016	3	1342	housing	NA	ROH	NA	52.95	PS_VW10 LC_GERARDO ECHE	NO	4959975249
184472	27/07/2012	ZSCR	551	034-2	NA	'054	5WK44285	NA	A2C00027389	3	1342	COVER	NA	ROH	NA	8.25	PS_VW10 LC_GERARDO ECHE	NO	4959975249
184478	27/07/2012	ZSCR	551	040-2	NA	'054	5WK43611	NA	A2C53108385MI	1	1402	Manual insertion assy for CCG	NA	HALB	S.Real	445.24	PS_ARAMIS I_GERARDO ECH	NO	4959974785
184481	27/07/2012	ZSCR	551	040-1	NA	'054	5WK43871	NA	A2C53189515MI	1	1401	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	568.38	PS_ARAMIS II MCG_GERARD	NO	4959974799
184482	27/07/2012	ZSCR	551	040-1	NA	'054	5WK43871	NA	A2C53189515MI	1	1401	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	568.38	PS_ARAMIS II MCG_GERARD	NO	4959974799
184483	27/07/2012	ZSCR	551	042-4	NA	'054	A2C81543200	NA	A2C81543200	1	1424	pcb assy	NA	HALB	S.Real	435.03	PS_ARAMIS 2013_GERARDO	NO	4959975107
184544	28/07/2012	ZSCR	551	034-2	NA	'054	5WY86930	NA	A2C53108387	22	1342	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	4.18	PS_ARAMIS 2011_GERARDO	NO	4959975290
184544	28/07/2012	ZSCR	551	034-2	NA	'054	5WY86930	NA	A2C53331574	13	1342	"housing FIP 157,0x 130,8"	NA	ROH	NA	205.01	PS_ARAMIS 2011_GERARDO	NO	4959975290
184546	28/07/2012	ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53355145	5	1342	front plate	NA	ROH	NA	119.4	OC_BOSE VW_GERARDO ECHE	NO	4959975241
184214	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53364457A	NA	A2C53364453	36	1301	pcb IEEZZDIV BOSE IEE VW3	NA	ROH	NA	308.88	OC_BOSE VW_GERARDO ECHE	NO	4959975323
184548	28/07/2012	ZSCR	551	034-2	NA	'054	5WK44354	NA	A2C53429875	3	1342	pcb assy PTFSPEED10 V10	NA	HALB	S.Real	687.03	PS_HYUNDAI_GERARDO ECHE	NO	4959974853
184550	28/07/2012	ZSCR	551	034-2	NA	'054	5WK44423	NA	A2C53399617	1	1342	pcb assy	NA	HALB	S.Real	229.87	PS_HONDA HRS5_GERARDO E	NO	4959974858
184561	28/07/2012	ZSCR	551	030-1	NA	'054	A2C53362292	NA	A2C53383913A	1	1301	SMD ACCORD 11 TOP	NA	HALB	S.Real	254.01	PS_HONDA ACCORD_GERARDO	NO	4959974938
184562	28/07/2012	ZSCR	551	030-1	NA	'054	A2C53362292	NA	A2C53383913A	1	1301	SMD ACCORD 11 TOP	NA	HALB	S.Real	254.01	PS_HONDA ACCORD_GERARDO	NO	4959974938
184564	28/07/2012	ZSCR	551	030-1	NA	'054	A2C53362292	NA	A2C53383913A	1	1301	SMD ACCORD 11 TOP	NA	HALB	S.Real	254.01	PS_HONDA ACCORD_GERARDO	NO	4959974938
184566	28/07/2012	ZSCR	551	030-1	NA	'054	A2C53362292	NA	A2C53383913A	1	1301	SMD ACCORD 11 TOP	NA	HALB	S.Real	254.01	PS_HONDA ACCORD_GERARDO	NO	4959974938
184568	28/07/2012	ZSCR	551	030-1	NA	'054	A2C32682200	NA	A2C53391886	1	1301	circuit board assy	NA	HALB	S.Real	202.96	PSAD_EPSILON_GERARDO EC	NO	4959974912
184569	28/07/2012	ZSCR	551	030-1	NA	'054	A2C32682200	NA	A2C53391886	1	1301	circuit board assy	NA	HALB	S.Real	202.96	PSAD_EPSILON_GERARDO EC	NO	4959974912
184570	28/07/2012	ZSCR	551	030-1	NA	'054	A2C32682200	NA	A2C53391886	1	1301	circuit board assy	NA	HALB	S.Real	202.96	PSAD_EPSILON_GERARDO EC	NO	4959974912
184573	28/07/2012	ZSCR	551	030-1	NA	'054	5WK44600	NA	A2C80216600	1	1301	pcb assy HONHRS6 V04	NA	HALB	S.Real	357.49	PS_HONDA HRS5_GERARDO E	NO	4959974868
184575	28/07/2012	ZSCR	551	030-1	NA	'054	5WK44600	NA	A2C80216600	1	1301	pcb assy HONHRS6 V04	NA	HALB	S.Real	357.49	PS_HONDA HRS5_GERARDO E	NO	4959974868
184577	28/07/2012	ZSCR	551	030-1	NA	'054	5WK44600	NA	A2C80216600	1	1301	pcb assy HONHRS6 V04	NA	HALB	S.Real	357.49	PS_HONDA HRS5_GERARDO E	NO	4959974868
184579	28/07/2012	ZSCR	551	030-1	NA	'054	5WK44600	NA	A2C80216600	1	1301	pcb assy HONHRS6 V04	NA	HALB	S.Real	357.49	PS_HONDA HRS5_GERARDO E	NO	4959974868
184580	28/07/2012	ZSCR	551	030-1	NA	'054	5WK44014	NA	A2C53279666	1	1301	ACU MY10 12	NA	HALB	S.Real	435.9	PS_HONDA CR-V HE_GERARD	NO	4959974808
184582	28/07/2012	ZSCR	551	030-1	NA	'054	5WK44739	NA	A2C53375496MI2	1	1301	MI Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	309.88	PS_ARAMIS III_GERARDO E	NO	4959974879
184585	28/07/2012	ZSCR	551	030-1	NA	'054	5WK44739	NA	A2C53375496MI2	1	1301	MI Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	309.88	PS_ARAMIS III_GERARDO E	NO	4959974879
184586	28/07/2012	ZSCR	551	030-1	NA	'054	5WK44276	NA	A2C53362292	1	1301	ACU MY11 10	NA	HALB	S.Real	302.36	PS_HONDA ACCORD_GERARDO	NO	4959974819
