No.Item	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	A2C00022326	13	3011	050		1351	"600W,13.6V,DO214AA,SUP DIODE/TPSMB16A"		ROH	NA	5.33	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	6577362020	1	3011	050		1351	"100PF,5%,50V,NPO,0603,NISN,CER"		ROH	NA	0.02	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	A2C00002247	17	3011	050		1351	"47nF,10%,100V,X7R,0805,TINNED,CER CAP/"		ROH	NA	1.02	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	6596362041	52	3011	050		1351	16V 180 nf 10% x7R Ceramic Capacitor		ROH	NA	3.64	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	A2C00004457	1	3011	050		1351	"1M,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.02	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	9151203	48	3011	050		1351	"1K2,5%,TK250,125MW,0805,FIX RE"		ROH	NA	0.48	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	6596352077	1	3011	050		1351	2W METAL RESISTOR 2% 0.47		ROH	NA	2.15	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	9166601	830	3011	050		1351	"10K,1%,TK100,125MW,0805,FIX RE"		ROH	NA	16.6	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	A2C00004074	1	3011	050		1351	"220K,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.02	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	A2C00021528	6	3011	050		1351	"1,NPN,NORMAL,70mA,50V,SOT323,BIP/PDTC144"		ROH	NA	0.54	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	A2C00002338	100	3011	050		1351	"1uF,10%,16V,X7R,1206,TINNED,CER CAP/++ u"		ROH	NA	14	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	A2C00019447	1	3011	050		1351	"51uH,800mA,SMD,CAN COIL/++ recommendatio"		ROH	NA	1.4	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	9166533	1	3011	050		1351	"2K15,1%,TK100,125MW,0805,FIX R"		ROH	NA	0.02	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	A2C00019425	24	3011	050		1351	"1uF,10%,50V,X7R,1210,TINNED,CER CAP/GRM4"		ROH	NA	8.64	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	6581362013	3	3011	050		1351	"150NF,10%,16V,X7R,0805,NISN,CE"		ROH	NA	0.21	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	A2C00002589	53	3011	050		1351	"10uF,10%,10V,SMD,TA,ELEC CAP/"		ROH	NA	23.85	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	9159301	6	3011	050		1351	"10R,1%,TK100,250MW,1206,FIX RE"		ROH	NA	0.12	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	9166643	7	3011	050		1351	"27K4,1%,TK100,125MW,0805,FIX R"		ROH	NA	0.14	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	A2C00001041	90	3011	050		1351	"2,COMP,0Hz,SO8,OP-COMP/TY30464,LM2903___"		ROH	NA	48.6	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	9166539	86	3011	050		1351	"2K49,1%,TK100,125MW,0805,FIX R"		ROH	NA	1.72	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	6576322093	16	3011	050		1351	"10UF,10%,16V,SMD,TA,ELEC CAP/"		ROH	NA	15.52	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	6532672085	1	3011	050		1351	"MSA00219M96 ,DECADE COUNTER 125,7"		ROH	NA	1.55	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	A2C00000609	1	3011	050		1351	"1,N_CHAN,-,SMALLSIGNAL,50V,200mA,3.5Ohm,"		ROH	NA	0.22	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	A2C00002075	10	3011	050		1351	"10nF,5%,50V,C0G,1210,Sn,CER CAP/++use in"		ROH	NA	4.8	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	6577362054	232	3011	050		1351	"100NF,10%,50V,X7R,0805,NISN,CE"		ROH	NA	11.6	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	A2C00011824	4	3011	050		1351	"1,N_CHAN,MOS,POWER,55V,80A,4.8mOhm,TO263"		ROH	NA	30.76	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	A2C00043941	2	3011	050		1351	"13V,800mW,SOD123F,ZENER and 150W TVS/BZD"		ROH	NA	1.04	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	9166480	12	3011	050		1351	"665R,1%,TK100,125MW,0805,FIX R"		ROH	NA	0.36	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	A2C00019575	7	3011	050		1351	"5V,10mA,STEP DOWN,SCT-595,VOLT REG/TLE42"		ROH	NA	16.59	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	6593312022	3	3011	050		1351	"30V,200MA,SINGLE,SOT23, SCHOTT"		ROH	NA	0.36	ES_IDM_NORA ANCHONDO	NO	4964324653
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	6541602007	76	3011	050		1351	NPN BIPOLAR TRANSISTOR		ROH	NA	97.28	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037632A	NA	6591602026	2	3011	050		1351	"NPN,DIGITAL,100MA,50V,R[B]=47K"		ROH	NA	0.18	ES_IDM_NORA ANCHONDO	NO	4964324682
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	A2C00019575	6	3011	050		1351	"5V,10mA,STEP DOWN,SCT-595,VOLT REG/TLE42"		ROH	NA	14.22	ES_IDM_NORA ANCHONDO	NO	4964324653
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	A2C00022326	7	3011	050		1351	"600W,13.6V,DO214AA,SUP DIODE/TPSMB16A"		ROH	NA	2.87	ES_IDM_NORA ANCHONDO	NO	4964324653
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	A2C00010227	1	3011	050		1351	"100nF,5%,50V,X7R,0805,TINNED,CER CAP/++"		ROH	NA	0.07	ES_IDM_NORA ANCHONDO	NO	4964324653
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	6592392046	4	3011	050		1351	"1UF,10%,35V,SMD,TA,ELEC CAP/"		ROH	NA	2.72	ES_IDM_NORA ANCHONDO	NO	4964324653
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	9166452	4	3011	050		1351	"340R,1%,TK100,125MW,0805,FIX R"		ROH	NA	0.08	ES_IDM_NORA ANCHONDO	NO	4964324653
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	9151193	1	3011	050		1351	"510R,5%,TK250,125MW,0805,FIX R"		ROH	NA	0.01	ES_IDM_NORA ANCHONDO	NO	4964324653
