No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
595079	04/03/2015	ZSCR	551	042-4	NA	'015	A2C74509900	NA	A2C74354600	1	1424	NA	ROH	NA	8.64	S1_PASE FOB CUSW_A.ADRI	NO			
595081	04/03/2015	ZSCR	551	040-2	NA	'015	A2C86022600	NA	A2C73750400	3	1402	NA	ROH	NA	25.23	S1_PASE FOB CUSW_A.ADRI	NO			
595081	04/03/2015	ZSCR	551	040-2	NA	'015	A2C74094300S	NA	A2C73750500	2	1402	NA	ROH	NA	16.82	S1_PASE FOB CUSW_A.ADRI	NO			
595081	04/03/2015	ZSCR	551	040-2	NA	'015	A2C86022600	NA	A2C73750700	3	1402	NA	ROH	NA	16.8	S1_PASE FOB CUSW_A.ADRI	NO			
595081	04/03/2015	ZSCR	551	040-2	NA	'015	A2C74094300	NA	A2C73750900	2	1402	NA	ROH	NA	13.02	S1_PASE FOB CUSW_A.ADRI	NO			
595081	04/03/2015	ZSCR	551	040-2	NA	'015	A2C73752901	NA	A2C73751400	5	1402	NA	ROH	NA	6.4	S1_PASE FOB CUSW_A.ADRI	NO			
595083	04/03/2015	ZSCR	551	042-4	NA	'015	A2C37668700	NA	A2C53105128	24	1424	NA	ROH	NA	7.44	S1_PASE FOB CUSW_A.ADRI	NO			
595163	04/03/2015	ZSCR	551	042-4	NA	'015	A2C73601801	NA	A2C73637100	1	1424	NA	ROH	NA	24.41	S1_CBC MY15_. (APROBAC	NO			
595484	05/03/2015	ZSCR	551	034-2	NA	'050	A2C32292400	NA	A2C00046274	72	1342	NA	ROH	NA	53.28	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225362		
595484	05/03/2015	ZSCR	551	034-2	NA	'050	5WY8835	NA	A2C00046274	17	1342	NA	ROH	NA	12.58	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225217		
595484	05/03/2015	ZSCR	551	034-2	NA	'050	A2C86023100	NA	A2C40002516	11	1342	NA	ROH	NA	8.03	S1_WK_WD RFHUB_A.ADRIAN	NO			
595563	05/03/2015	ZSCR	551	040-2	NA	'015	A2C73637001	NA	A2C73637100	3	1402	NA	ROH	NA	73.23	S1_CBC MY15_. (APROBAC	NO			
595899	06/03/2015	ZSCR	551	034-2	NA	'050	A2C82167600	NA	A2C00046274	358	1342	NA	ROH	NA	264.92	S1_WK_WD RFHUB_A.ADRIAN	NO			
595899	06/03/2015	ZSCR	551	034-2	NA	'050	A2C82167600	NA	A2C00048832	94	1342	NA	ROH	NA	73.32	S1_WK_WD RFHUB_A.ADRIAN	NO			
595899	06/03/2015	ZSCR	551	034-2	NA	'050	A2C32295200	NA	A2C40002516	8	1342	NA	ROH	NA	5.84	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225636		
595905	06/03/2015	ZSCR	551	040-2	NA	'050	A2C73789604	NA	A2C73599005	2	1402	NA	ROH	NA	159.58	S1_CBC MY15_. (APROBAC	NO			
595920	06/03/2015	ZSCR	551	030-1	NA	'050	A2C8216760092	NA	A2C82135300	4	1301	NA	ROH	NA	116.6	S1_WK_WD RFHUB_A.ADRIAN	NO	4988224988		
596272	07/03/2015	ZSCR	551	040-2	NA	'015	A2C73601800	NA	A2C73637100	4	1402	NA	ROH	NA	97.64	S1_CBC MY15_. (APROBAC	NO			
596495	07/03/2015	ZSCR	551	034-2	NA	'050	A2C73789705	NA	A2C00184100	12	1342	NA	ROH	NA	174.12	S1_CBC MY15_. (APROBAC	NO			
596495	07/03/2015	ZSCR	551	034-2	NA	'050	A2C73789705	NA	A2C00278300	12	1342	NA	ROH	NA	292.92	S1_CBC MY15_. (APROBAC	NO			
596540	07/03/2015	ZSCR	551	034-8	NA	'050	A2C73789705	NA	A2C37574600	840	1348	NA	ROH	NA	117.6	S1_CBC MY15_. (APROBAC	NO			
596540	07/03/2015	ZSCR	551	034-8	NA	'050	A2C73789705	NA	A2C37574700	248	1348	NA	ROH	NA	59.52	S1_CBC MY15_. (APROBAC	NO			
596540	07/03/2015	ZSCR	551	034-8	NA	'050	A2C73789705	NA	A2C53412606	48	1348	NA	ROH	NA	19.2	S1_CBC MY15_. (APROBAC	NO			
596540	07/03/2015	ZSCR	551	034-8	NA	'050	A2C73789705	NA	A2C73599005	8	1348	NA	ROH	NA	638.32	S1_CBC MY15_. (APROBAC	NO			
596807	08/03/2015	ZSCR	551	034-2	NA	'050	A2C37574400	NA	A2C00048064	2	1342	NA	ROH	NA	28.72	S1_CBC_P.PABLO PALMER-C	NO	4988225806		
596807	08/03/2015	ZSCR	551	034-2	NA	'050	A2C7378400093	NA	A2C00059268	8	1342	NA	ROH	NA	77.92	S1_CBC_P.PABLO PALMER-C	NO			
596807	08/03/2015	ZSCR	551	034-2	NA	'050	A2C7378400093	NA	A2C00062486	3	1342	NA	ROH	NA	24.99	S1_CBC_P.PABLO PALMER-C	NO			
596807	08/03/2015	ZSCR	551	034-2	NA	'050	A2C7378400093	NA	A2C00184100	19	1342	NA	ROH	NA	275.69	S1_CBC_P.PABLO PALMER-C	NO			
596807	08/03/2015	ZSCR	551	034-2	NA	'050	A2C7378400093	NA	A2C00278300	10	1342	NA	ROH	NA	244.1	S1_CBC_P.PABLO PALMER-C	NO			
596908	09/03/2015	ZSCR	551	034-2	NA	'050	A2C73784000	NA	A2C00184100	7	1342	NA	ROH	NA	101.57	S1_CBC_P.PABLO PALMER-C	NO			
597131	09/03/2015	ZSCR	551	040-2	NA	'015	A2C73601801	NA	A2C73637100	2	1402	NA	ROH	NA	48.82	S1_CBC MY15_. (APROBAC	NO			
597257	09/03/2015	ZSCR	551	034-2	NA	'050	A2C73785403	NA	A2C73599005	1	1342	NA	ROH	NA	79.79	S1_CBC MY15_. (APROBAC	NO			
597257	09/03/2015	ZSCR	551	034-2	NA	'050	A2C73789604	NA	A2C73599005	1	1342	NA	ROH	NA	79.79	S1_CBC MY15_. (APROBAC	NO			
597362	10/03/2015	ZSCR	551	034-2	NA	'050	5WY8834	NA	A2C00046274	63	1342	NA	ROH	NA	46.62	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225197		
597362	10/03/2015	ZSCR	551	034-2	NA	'050	A2C32291400	NA	A2C00048063	2	1342	NA	ROH	NA	26.1	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225242		
597362	10/03/2015	ZSCR	551	034-2	NA	'050	A2C32291400	NA	A2C40000660	3	1342	NA	ROH	NA	64.95	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225242		
597831	11/03/2015	ZSCR	551	034-2	NA	'050	A2C32291400	NA	A2C53375403	7	1342	NA	ROH	NA	152.6	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225242		
597831	11/03/2015	ZSCR	551	034-2	NA	'050	A2C81624000	NA	A2C89521800	3	1342	NA	ROH	NA	26.46	S1_WK_WD RFHUB_A.ADRIAN	NO			
597831	11/03/2015	ZSCR	551	034-2	NA	'050	A2C81624000	NA	A2C89522000	5	1342	NA	ROH	NA	50.1	S1_WK_WD RFHUB_A.ADRIAN	NO			
598234	11/03/2015	ZSCR	551	034-2	NA	'050	A2C32292300	NA	A2C40000660	12	1342	NA	ROH	NA	259.8	S1_CUSW UF RFHM_A.ADRIA	NO	4988225316		
598234	11/03/2015	ZSCR	551	034-2	NA	'050	A2C32292400	NA	A2C53375403	7	1342	NA	ROH	NA	152.6	S1_CUSW UF RFHM_A.ADRIA	NO	4988225362		
598234	11/03/2015	ZSCR	551	034-2	NA	'050	A2C81624800	NA	A2C89521800	8	1342	NA	ROH	NA	70.56	S1_CUSW UF RFHM_A.ADRIA	NO			
598236	11/03/2015	ZSCR	551	034-2	NA	'050	A2C32293000	NA	A2C40000660	13	1342	NA	ROH	NA	281.45	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225387		
598236	11/03/2015	ZSCR	551	034-2	NA	'050	A2C32293100	NA	A2C53375403	7	1342	NA	ROH	NA	152.6	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225431		
598236	11/03/2015	ZSCR	551	034-2	NA	'050	A2C81624200	NA	A2C89522000	7	1342	NA	ROH	NA	70.14	S1_WK_WD RFHUB_A.ADRIAN	NO			
598242	11/03/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C00004906	277	1253	VUT019664	ROH	NA	451.51	S1_RKE FOB CUSW_A.ADRIA	NO	4988223407		
598984	13/03/2015	ZSCR	551	034-2	NA	'050	A2C73789705	NA	A2C00184100	15	1342	NA	ROH	NA	217.65	S1_CBC MY15_. (APROBAC	NO			
598984	13/03/2015	ZSCR	551	034-2	NA	'050	A2C73789705	NA	A2C00278300	3	1342	NA	ROH	NA	73.23	S1_CBC MY15_. (APROBAC	NO			
598984	13/03/2015	ZSCR	551	034-2	NA	'050	A2C73789705	NA	A2C40018531	5	1342	NA	ROH	NA	30.3	S1_CBC MY15_. (APROBAC	NO			
599268	14/03/2015	ZSCR	551	040-3	NA	'015	A2C73601801	NA	A2C73637100	4	1403	NA	ROH	NA	97.64	S1_CBC MY15_. (APROBAC	NO			
599271	14/03/2015	ZSCR	551	040-2	NA	'015	A2C73637000	NA	A2C73637200	1	1402	NA	ROH	NA	7.06	S1_CBC MY15_. (APROBAC	NO			
599272	14/03/2015	ZSCR	551	040-2	NA	'015	A2C73637000	NA	A2C73637100	5	1402	NA	ROH	NA	122.05	S1_CBC MY15_. (APROBAC	NO			
599619	15/03/2015	ZSCR	551	030-1	NA	'050	A2C73789604	NA	A2C73599005	6	1301	NA	ROH	NA	478.74	S1_CBC MY15_. (APROBAC	NO	4988224938		
599859	16/03/2015	ZSCR	551	034-2	NA	'050	A2C37574300	NA	A2C00055248	2	1342	NA	ROH	NA	18.28	S1_CBC MY15_. (APROBAC	NO	4988225775		
599863	16/03/2015	ZSCR	551	034-2	NA	'050	A2C81624000	NA	A2C89522000	1	1342	NA	ROH	NA	10.02	S1_WK_WD RFHUB_A.ADRIAN	NO			
600314	17/03/2015	ZSCR	551	040-2	NA	'015	A2C73601801	NA	A2C73637100	5	1402	NA	ROH	NA	122.05	S1_CBC MY15_. (APROBAC	NO			
