No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad			Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
563135	10/12/2014	ZSCR	551	034-2	NA	'015	5WY8834	NA	A2C53328412	8			1342	circuit board assy	NA	HALB	S.Real	641.92	S1_DCU_A.ADRIAN CEBALLO	NO	4985092643
563138	10/12/2014	ZSCR	551	034-2	NA	'015	A2C93554000	NA	A2C93553900	19			1342	control device TPM 315 MHz NA	NA	HALB	S.Real/AutoBF	1181.23	S1_TESLA TG ECU_. (APR	NO	4985093630
563155	10/12/2014	ZSCR	551	034-2	NA	'015	A2C83143000	NA	A2C8314420093	2			1342	circuit board assy TPM Top	NA	HALB	S.Real	64.24	S1_TG1C UNIVERSAL_J.JAI	NO	4985093381
563156	10/12/2014	ZSCR	551	042-4	NA	'015	A2C83143000	NA	A2C8314420093	6			1424	circuit board assy TPM Top	NA	HALB	S.Real	192.72	S1_TG1C UNIVERSAL_J.JAI	NO	4985093391
563239	11/12/2014	ZSCR	551	034-2	NA	'015	A2C32880100	NA	A2C32880100	2			1342	module assy TPM	NA	HALB	S.Real/AutoBF	82.6	S1_TIS 1D CHRYSLER_J.JA	NO	4985094854
563259	11/12/2014	ZSCR	551	040-2	NA	'015	A2C87144100	NA	A2C87144100	1			1402	module assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	34.51	S1_TG1C NISSAN_J.JAIME	NO	4985094591
563260	11/12/2014	ZSCR	551	034-2	NA	'015	A2C81364500	NA	A2C81364500	2			1342	module assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	96.72	S1_TG1C NISSAN_J.JAIME	NO	4985094538
563263	11/12/2014	ZSCR	551	034-2	NA	'015	A2C87496000	NA	A2C87496000	1			1342	pcb assy BCU	NA	HALB	S.Real/AutoBF	21.21	S1_TG1C NISSAN_J.JAIME	NO	4985094879
563269	11/12/2014	ZSCR	551	040-2	NA	'015	A2C53328412	NA	A2C53328412	1			1402	circuit board assy	NA	HALB	S.Real	80.24	S1_DCU_A.ADRIAN CEBALLO	NO	4985092846
563270	11/12/2014	ZSCR	551	030-1	NA	'015	A2C53338452	NA	A2C53338452	1			1301	circuit board assy	NA	HALB	S.Real	51.82	S1_DCU_A.ADRIAN CEBALLO	NO	4985092617
563285	11/12/2014	ZSCR	551	034-2	NA	'015	A2C3144240093	NA	A2C3144240093	1			1342	circuit board assy TPM 315 MHz Top	NA	HALB	S.Real	27.93	S1_TG1C DCX_J.JAIME JIM	NO	4985092974
563296	11/12/2014	ZSCR	551	034-2	NA	'015	A2C53328412	NA	A2C53328412	8			1342	circuit board assy	NA	HALB	S.Real	641.92	S1_DCU_A.ADRIAN CEBALLO	NO	4985092643
563299	11/12/2014	ZSCR	551	034-2	NA	'015	A2C8673350093	NA	A2C8673350093	60			1342	pcb assy VDC Top	NA	HALB	S.Real	1309.8	S1_TIS 1D CHRYSLER_J.JA	NO	4985093473
563301	11/12/2014	ZSCR	551	034-2	NA	'015	A2C8673350093	NA	A2C8673350093	120			1342	pcb assy VDC Top	NA	HALB	S.Real	2619.6	S1_TIS 1D CHRYSLER_J.JA	NO	4985093473
563302	11/12/2014	ZSCR	551	034-2	NA	'015	A2C3156350093	NA	A2C3156350093	4			1342	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	112.04	S1_TG1C NISSAN_J.JAIME	NO	4985093118
563307	11/12/2014	ZSCR	551	034-2	NA	'015	A2C8676750093	NA	A2C8676750093	1			1342	circuit board assy TPM SMD TOP	NA	HALB	S.Real	23.44	S5_TIS1C127 HMC_A.ADRIA	NO	4985093562
563313	11/12/2014	ZSCR	551	034-2	NA	'015	A2C3301700093	NA	A2C3301700093	1			1342	circuit board assy TPM 433 MHz TOP	NA	HALB	S.Real	28	S1_TG1C DCX_J.JAIME JIM	NO	4985092992
563395	11/12/2014	ZSCR	551	034-2	NA	'015	A2C92739400	NA	A2C92739400	3			1342	module assy TPM	NA	HALB	S.Real/AutoBF	110.76	S1_TG1C NISSAN_J.JAIME	NO	4985094879
563488	11/12/2014	ZSCR	551	050-1	NA	'015	A2C33017400	NA	A2C53402833	3			1501	module assy TPM	NA	HALB	S.Real/AutoBF	119.34	S1_TG1C DCX_J.JAIME JIM	NO	4985094183
563492	11/12/2014	ZSCR	551	040-1	NA	'015	5WY8547	NA	A2C53348715	1			1401	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	49.18	S1_TG1C DCX_J.JAIME JIM	NO	4985094037
563526	11/12/2014	ZSCR	551	034-2	NA	'015	A2C32880400	NA	A2C32880100	2			1342	module assy TPM	NA	HALB	S.Real/AutoBF	82.6	S1_TIS 1D CHRYSLER_J.JA	NO	4985094854
563615	11/12/2014	ZSCR	551	030-1	NA	'015	A2C53328412	NA	A2C53328412	2			1301	circuit board assy	NA	HALB	S.Real	160.48	S1_DCU_A.ADRIAN CEBALLO	NO	4985092606
563623	11/12/2014	ZSCR	551	050-1	NA	'015	A2C9337410093	NA	A2C9337410093	1			1501	pcb assy Top	NA	HALB	S.Real	43.97	S1_TESLA TG ECU_. (APR	NO	4985092890
