No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
484528	7/4/2014	ZSCR	551	042-4	NA	'054	5WY72940	NA	6590119027	1	Func tests Epsilon GMX380ES 8 Loops - SP	NA	HALB	S.Real	413.22	PSAD_EPSILON_O.OSCAR FO	NO				
484528	7/4/2014	ZSCR	551	042-4	NA	'054	A2C53322900	NA	A2C53322900	1	ACU MY09 M20 08	NA	HALB	S.Real	307.33	PSAD_EPSILON_O.OSCAR FO	NO				
484528	7/4/2014	ZSCR	551	042-4	NA	'054	5WY74140	NA	6590119039	1	Subensamble IM MY06 6L SP	NA	HALB	S.Real	287.45	PSAD_EPSILON_O.OSCAR FO	NO				
484772	7/5/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C83145200	2	certification label identificati	NA	ROH	NA	0.66	PSAD_DAIMLER STAR2_ISC_	NO				
484772	7/5/2014	ZSCR	551	034-2	NA	'054	A2C81768403	NA	A2C83435000	22	cover FIP T BK	NA	ROH	NA	418.44	PSAD_DAIMLER STAR2_ISC_	NO				
484772	7/5/2014	ZSCR	551	034-2	NA	'054	A2C38172003	NA	A2C53424040	35	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	9.45	PSAD_DAIMLER STAR2_ISC_	NO				
484777	7/5/2014	ZSCR	551	034-2	NA	'054	A2C82535000	NA	A2C53408548	12	"LSS*D7500CM 3,5X 10 A3K"	NA	ROH	NA	2.64	PSAD_OPEL 4400_J.JOSE O	NO				
484777	7/5/2014	ZSCR	551	034-2	NA	'054	A2C82540900	NA	A2C82535400	2	cover	NA	ROH	NA	6.74	PSAD_OPEL 4400_J.JOSE O	NO				
484780	7/5/2014	ZSCR	551	034-2	NA	'054	A2C82735700	NA	A2C53395713	1	housing WIC P BK A-D	NA	ROH	NA	36.47	PS_SDM10+_C.CAROLINA OT	NO				
484780	7/5/2014	ZSCR	551	034-2	NA	'054	A2C82735300	NA	A2C92598000	1	cover FIP T BK Laser Weld	NA	ROH	NA	2.48	PS_SDM10+_C.CAROLINA OT	NO				
484780	7/5/2014	ZSCR	551	034-2	NA	'054	A2C85801100	NA	A2C53338471	2	contact element	NA	ROH	NA	2.04	PS_SDM10+_C.CAROLINA OT	NO				
484780	7/5/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C83145200	1	certification label identificati	NA	ROH	NA	0.33	PS_SDM10+_C.CAROLINA OT	NO				
484780	7/5/2014	ZSCR	551	034-2	NA	'054	A2C85801000	NA	A2C40000025	1	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	6.83	PS_SDM10+_C.CAROLINA OT	NO				
484783	7/5/2014	ZSCR	551	034-2	NA	'054	A2C82134700	NA	A2C40000025	14	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	95.62	PS_SDM10+_C.CAROLINA OT	NO				
484783	7/5/2014	ZSCR	551	034-2	NA	'054	A2C82134600	NA	A2C40000022	5	"C ELEC,AL,4.7mF,20%,35V"	NA	ROH	NA	33.65	PS_SDM10+_C.CAROLINA OT	NO				
484790	7/5/2014	ZSCR	551	034-2	NA	'054	A2C38172103	NA	A2C83435000	29	cover FIP T BK	NA	ROH	NA	551.58	PSAD_DAIMLER STAR 2_A.A	NO				
484790	7/5/2014	ZSCR	551	034-2	NA	'054	A2C38172101	NA	A2C53424040	70	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	18.9	PSAD_DAIMLER STAR 2_A.A	NO				
484792	7/5/2014	ZSCR	551	034-2	NA	'054	A2C89711901	NA	A2C40015684	4	"SEN/BS 15.015,TRIGGERSENSOR * BS15.015"	NA	ROH	NA	105.56	PSAD_ARMIN_J.JOSE ORTIZ	NO				
484793	7/5/2014	ZSCR	551	034-2	NA	'054	5WK44591	NA	A2C53397780	9	cover	NA	ROH	NA	28.62	PS_HONDA HRS6_J.JUAN CH	NO				
484930	7/5/2014	ZSCR	551	034-2	NA	'054	5WK44252	2	5WK44252	1	BoSe VW	NA	FERT	NA	104.03	OC_BOSE VW_A.ANA TAPIA-	NO				
484954	7/5/2014	ZSCR	551	034-2	NA	'054	5WY89350	2	5WY89350	1	Chrysler RT/RM DOM ORC MY13	NA	FERT	NA	352	PS_CHRYSLER MY2013_E.ED	NO				
