No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock			
664048	17/09/2015	ZSCR	551	035-1	0	'054	A2C83377600	NA	A2C83043900	260	1351	label identificati	#N/A	ROH	NA	335.4	PS_LEGACY_L.LPL AUTOMAT	NO	STOCK		
664071	18/09/2015	ZSCR	551	030-1	NA	'054	A2C38171905	NA	A2C8522100193	1	1301	pcb assy DAGSM D_2_ SMD TOP	#N/A	HALB	S.Real	176.21	PSAD_DAIMLER STAR2_ISC_	NO	STOCK		
664621	21/09/2015	ZSCR	551	040-1	NA	'054	A2C32453912	NA	A2C3511610193	1	1401	pcb assy DAGSTAR2 D_12 SMD TOP	#N/A	HALB	S.Real	316.77	PSAD_DAIMLER STAR 2_A.A	NO	4993824197		
664719	21/09/2015	ZSCR	551	030-1	NA	'054	A2C85901112	NA	A2C8705700193	1	1301	pcb assy DAGSTAR2 D_18 SMD TOP	#N/A	HALB	S.Real	350.73	PSAD_DAIMLER STAR 2_A.A	NO	4993824558		
664721	21/09/2015	ZSCR	551	030-1	NA	'054	A2C85901112	NA	A2C8705700193	1	1301	pcb assy DAGSTAR2 D_18 SMD TOP	#N/A	HALB	S.Real	350.73	PSAD_DAIMLER STAR 2_A.A	NO	4993824558		
664722	21/09/2015	ZSCR	551	030-1	NA	'054	A2C85901112	NA	A2C8705700193	1	1301	pcb assy DAGSTAR2 D_18 SMD TOP	#N/A	HALB	S.Real	350.73	PSAD_DAIMLER STAR 2_A.A	NO	4993824558		
664820	21/09/2015	ZSCR	551	030-1	NA	'054	5WK44469	NA	A2C53295039	6	1301	pcb HONDA ACU16 main	#N/A	ROH	NA	105.6	PS_HONDA HRS5_.	NO	4993823840		
664823	21/09/2015	ZSCR	551	030-1	NA	'054	A2C53395078	NA	A2C53395076	14	1301	pcb IEEZZDIV	#N/A	ROH	NA	112.7	OC_BOSE BMW_A.ANA TAPIA	NO	4993823611		
664879	21/09/2015	ZSCR	551	040-5	NA	'054	5WK44789	NA	A2C53330109	2	1405	socket	#N/A	ROH	NA	34.98	PSAD_DAIMLER STAR2_ISC_	NO	4993824106		
664880	21/09/2015	ZSCR	551	040-3	NA	'054	5WK44288	NA	A2C00014697	50	1403	sticker	#N/A	ROH	NA	26.5	PS_VW10 LC_.	NO	4993823589		
664923	21/09/2015	ZSCR	551	040-5	NA	'054	5WK44465	NA	A2C53330105	1	1405	socket	#N/A	ROH	NA	12.64	PS_HONDA HRS6_J.JUAN CH	NO	4993823713		
664938	21/09/2015	ZSCR	551	040-3	NA	'054	A2C37964105	NA	A2C83435000	4	1403	cover FIP T BK	#N/A	ROH	NA	71.24	PSAD_DAIMLER STAR2_ISC_	NO	4993824243		
664955	21/09/2015	ZSCR	551	035-1	0	'054	A2C81542700	NA	A2C00013374	0.444	1351	protective laquer BECTRON PK4340	#N/A	ROH	NA	181.82	PS_ARAMIS 2013_L.LPL AU	NO	4993824351		
664955	21/09/2015	ZSCR	551	035-1	0	'054	A2C81542600	NA	A2C00013374	0.095	1351	protective laquer BECTRON PK4340	#N/A	ROH	NA	38.9	PS_ARAMIS 2013_L.LPL AU	NO	4993824351		
664955	21/09/2015	ZSCR	551	035-1	0	'054	A2C81542500	NA	A2C00013374	0.032	1351	protective laquer BECTRON PK4340	#N/A	ROH	NA	13.1	PS_ARAMIS 2013_L.LPL AU	NO	4993824351		
664955	21/09/2015	ZSCR	551	035-1	0	'054	A2C81542400	NA	A2C00013374	0.016	1351	protective laquer BECTRON PK4340	#N/A	ROH	NA	6.55	PS_ARAMIS 2013_L.LPL AU	NO	4993824351		
664961	21/09/2015	ZSCR	551	040-3	NA	'054	5WK44323	NA	A2C53371768	1	1403	cover FIP T GY	#N/A	ROH	NA	3.01	PS_ARAMIS III_.	NO	4993823663		
665003	21/09/2015	ZSCR	551	040-5	NA	'054	A2C32453904	NA	A2C91601100	1	1405	multipoint connector124/ 81P H 2SYS 1018	#N/A	ROH	NA	55.66	PSAD_DAIMLER STAR 2_A.A	NO	4993824189		
665016	21/09/2015	ZSCR	551	040-3	NA	'054	A2C90925600	NA	A2C40000025	3	1403	"C ELEC,AL,6.8mF,20%,35V"	#N/A	ROH	NA	25.14	PS_SDM30_.	NO	4993824684		
665029	21/09/2015	ZSCR	551	034-2	NA	'054	5WK44352	NA	A2C53381596	1	1342	cover	#N/A	ROH	NA	5.89	PS_HYUNDAI_.	NO	4993824684		
665036	21/09/2015	ZSCR	551	040-4	NA	'054	A2C32453907	NA	A2C53424040	50	1404	"pan head screw M3,5 x 12,00 1268"	#N/A	ROH	NA	14.5	PSAD_VW20_.	NO	4993824189		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C53399621B	NA	A2C00003974	1	1351	"R LIN,20R,5%,TK200,125mW,0805"	#N/A	ROH	NA	0.01	PS_HONDA HRS5_L.LPL AUT	NO	4993823688		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C9449080093	NA	A2C00003974	1	1351	"R LIN,20R,5%,TK200,125mW,0805"	#N/A	ROH	NA	0.01	PS_HONDA HRS5_L.LPL AUT	NO	4993823688		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C5343547793	NA	A2C00003974	1	1351	"R LIN,20R,5%,TK200,125mW,0805"	#N/A	ROH	NA	0.01	PS_HONDA HRS5_L.LPL AUT	NO	4993823907		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C9449080092	NA	A2C00003974	2	1351	"R LIN,20R,5%,TK200,125mW,0805"	#N/A	ROH	NA	0.02	PS_HONDA HRS5_L.LPL AUT	NO	4993824854		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C53399617A	NA	A2C00003974	8	1351	"R LIN,20R,5%,TK200,125mW,0805"	#N/A	ROH	NA	0.08	PS_HONDA HRS5_L.LPL AUT	NO	4993824854		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C53399617B	NA	A2C00003974	11	1351	"R LIN,20R,5%,TK200,125mW,0805"	#N/A	ROH	NA	0.11	PS_HONDA HRS5_L.LPL AUT	NO	4993824776		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C5343547792	NA	A2C00003974	2	1351	"R LIN,20R,5%,TK200,125mW,0805"	#N/A	ROH	NA	0.02	PS_HONDA HRS5_L.LPL AUT	NO	4993823907		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C53399621B	NA	A2C00004288	1	1351	"R LIN,4K99,1%,TK100,125mW,0805"	#N/A	ROH	NA	0.02	PS_HONDA HRS5_L.LPL AUT	NO	4993823688		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C5343547792	NA	A2C00004288	2	1351	"R LIN,4K99,1%,TK100,125mW,0805"	#N/A	ROH	NA	0.04	PS_HONDA HRS5_L.LPL AUT	NO	4993823907		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C9449080092	NA	A2C00004288	1	1351	"R LIN,4K99,1%,TK100,125mW,0805"	#N/A	ROH	NA	0.02	PS_HONDA HRS5_L.LPL AUT	NO	4993824854		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C53399617B	NA	A2C00004288	19	1351	"R LIN,4K99,1%,TK100,125mW,0805"	#N/A	ROH	NA	0.38	PS_HONDA HRS5_L.LPL AUT	NO	4993824776		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C5343547792	NA	A2C00004501	1	1351	"R LIN,150K,1%,TK100,100mW,0603"	#N/A	ROH	NA	0.01	PS_HONDA HRS5_L.LPL AUT	NO	4993823907		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C53399621B	NA	A2C00008183	5	1351	"40V,1A,1,SCHOTTKY,DO214AC,RECT DIODE/SS1"	#N/A	ROH	NA	1.2	PS_HONDA HRS5_L.LPL AUT	NO	4993823688		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C53399617B	NA	A2C00022031	3	1351	"4,EQ ISO,konvex 1206,7K5,1%,63mW,NET RES"	#N/A	ROH	NA	0.18	PS_HONDA HRS5_L.LPL AUT	NO	4993824776		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C9449080093	NA	A2C00038737	1	1351	"15nF,10%,100V,X7R,0603,,CER CAP/"	#N/A	ROH	NA	0.03	PS_HONDA HRS5_L.LPL AUT	NO	4993824854		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C53399621B	NA	A2C00039384	8	1351	"1,N_CHAN,MOS,POWER,55V,7A,68mOhm,SOT223,"	#N/A	ROH	NA	11.04	PS_HONDA HRS5_L.LPL AUT	NO	4993823688		
