No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP									
150026	ZSCR	551	034-2	NA	5WK44385	NA	A2C00014697	50	3011	054		1342	sticker	NA	ROH	NA	25.5	PS_VW10 LC_GERARDO ECHE	4957841094									
150026	ZSCR	551	034-2	NA	5WK44385	NA	A2C00014717	280	3011	054		1342	"pan head screw SF-M4 x 10,00 1241"	NA	ROH	NA	67.2	PS_VW10 LC_GERARDO ECHE	4957841094									
150026	ZSCR	551	034-2	NA	5WK44286	NA	A2C00027016	1	3011	054		1342	housing	NA	ROH	NA	17.65	PS_VW10 LC_GERARDO ECHE	4957841094									
150026	ZSCR	551	034-2	NA	5WK44286	NA	A2C00027389	11	3011	054		1342	COVER	NA	ROH	NA	30.25	PS_VW10 LC_GERARDO ECHE	4957841094									
150026	ZSCR	551	034-2	NA	5WK44287	NA	A2C00027390	4	3011	054		1342	COVER	NA	ROH	NA	13.6	PS_VW10 LC_GERARDO ECHE	4957841131									
150036	ZSCR	551	034-2	NA	5WY79410	NA	6590110301	98	3011	054		1342	Epsilon SDM Housing	NA	ROH	NA	1549.38	PSAD_EPSILON_GERARDO EC	4957840980									
150036	ZSCR	551	034-2	NA	5WY73040	NA	6590110701	89	3011	054		1342	Epsilon SDM Cover	NA	ROH	NA	214.49	PSAD_EPSILON_GERARDO EC	4957840980									
150036	ZSCR	551	034-2	NA	5WY72880	NA	A2C00013954	500	3011	054		1342	"pan head screw SF-M4 x 10,00 1241"	NA	ROH	NA	150	PSAD_EPSILON_GERARDO EC	4957840980									
150037	ZSCR	551	034-2	NA	5WY79410	NA	6590110301	97	3011	054		1342	Epsilon SDM Housing	NA	ROH	NA	1533.57	PSAD_EPSILON_GERARDO EC	4957840980									
150037	ZSCR	551	034-2	NA	5WY74130	NA	6590110701	88	3011	054		1342	Epsilon SDM Cover	NA	ROH	NA	212.08	PSAD_EPSILON_GERARDO EC	4957840980									
150037	ZSCR	551	034-2	NA	5WY72880	NA	A2C00013954	500	3011	054		1342	"pan head screw SF-M4 x 10,00 1241"	NA	ROH	NA	150	PSAD_EPSILON_GERARDO EC	4957840980									
150038	ZSCR	551	034-2	NA	5WY79410	NA	6590110301	97	3011	054		1342	Epsilon SDM Housing	NA	ROH	NA	1533.57	PSAD_EPSILON_GERARDO EC	4957840980									
150038	ZSCR	551	034-2	NA	5WY74130	NA	6590110701	88	3011	054		1342	Epsilon SDM Cover	NA	ROH	NA	212.08	PSAD_EPSILON_GERARDO EC	4957840980									
150038	ZSCR	551	034-2	NA	5WY72880	NA	A2C00013954	500	3011	054		1342	"pan head screw SF-M4 x 10,00 1241"	NA	ROH	NA	150	PSAD_EPSILON_GERARDO EC	4957840980									
150039	ZSCR	551	034-2	NA	5WY79410	NA	6590110301	97	3011	054		1342	Epsilon SDM Housing	NA	ROH	NA	1533.57	PSAD_EPSILON_GERARDO EC	4957840980									
150039	ZSCR	551	034-2	NA	5WY74130	NA	6590110701	88	3011	054		1342	Epsilon SDM Cover	NA	ROH	NA	212.08	PSAD_EPSILON_GERARDO EC	4957840980									
150039	ZSCR	551	034-2	NA	5WY72880	NA	A2C00013954	500	3011	054		1342	"pan head screw SF-M4 x 10,00 1241"	NA	ROH	NA	150	PSAD_EPSILON_GERARDO EC	4957840980									
150040	ZSCR	551	034-2	NA	5WY77086	NA	6590118909	1	3011	054		1342	SUBENSAMBLE IM MY07 6L C/AOS R	NA	HALB	S.Real	357.43	PSAD_EPSILON_GERARDO EC	4957840986									
150041	ZSCR	551	042-4	NA	5WY89340	NA	A2C32682200	1				1424	airbag control elect	NA	HALB	S.Real	364.09	PSAD_EPSILON_GERARDO EC	4957840944									
150043	ZSCR	551	040-3	NA	5WK44385	NA	A2C53390474	1	3011	054		1403	ACU VW10 MY10 12 NAR BOSE	NA	HALB	S.Real	273.35	PS_VW10 LC_GERARDO ECHE	4957841023									
150044	ZSCR	551	034-1	NA	5WK44385	NA	5WK44385	1	3011	054		1341	MODULE CONTROL FOR AIRBAG VW10G BoSe	NA	FERT	NA	300.99	PS_VW10 LC_GERARDO ECHE	4957841192									
150046	ZSCR	551	034-1	NA	5WK44385	NA	5WK44385	1	3011	054		1341	MODULE CONTROL FOR AIRBAG VW10G BoSe	NA	FERT	NA	300.99	PS_VW10 LC_GERARDO ECHE	4957841192									
150047	ZSCR	551	034-1	NA	5WK44508	NA	A2C53416946	1	3011	054		1341	ACU VW10 MY10 8 RdW	NA	HALB	S.Real	228.45	PS_VW10 LC_GERARDO ECHE	4957841063									
150078	ZSCR	551	034-2	NA	5WK44292	NA	A2C53395077	7	3011	054		1342	pcb assy	NA	HALB	S.Real	533.54	OC_BOSE BMW_GERARDO EC	4957841374									
150082	ZSCR	551	034-3	NA	5WK44285		5WK44285	4	3011	054		1343	MODULE CONTROL FOR AIRBAG VW10 RdW	NA	FERT	NA	1150.04	PS_VW10 LC_GERARDO ECHE	4957841169									
150086	ZSCR	551	034-3	NA	5WK44288		5WK44288	6	3011	054		1343	MODULE CONTROL FOR AIRBAG VW10G NAR	NA	FERT	NA	1833.36	PS_VW10 LC_GERARDO ECHE	4957841184									
150087	ZSCR	551	034-3	NA	5WK44385	NA	5WK44385	4	3011	054		1343	MODULE CONTROL FOR AIRBAG VW10G BoSe	NA	FERT	NA	1203.96	PS_VW10 LC_GERARDO ECHE	4957841200									
150088	ZSCR	551	034-3	NA	5WK44508	NA	5WK44508	5	3011	054		1343	MODULE CONTROL FOR AIRBAG VW10 RdW PA-On	NA	FERT	NA	1216.25	PS_VW10 LC_GERARDO ECHE	4957841224									
150091	ZSCR	551	040-1	NA	5WK44354	NA	A2C53429875	1	3011	054		1401	pcb assy PTFSPEED10 V10	NA	HALB	S.Real	229.01	PS_HYUNDAI_GERARDO ECHE	4957841689									
150092	ZSCR	551	042-4	NA	5WK44354	NA	A2C53429875	1	3011	054		1424	pcb assy PTFSPEED10 V10	NA	HALB	S.Real	229.01	PS_HYUNDAI_GERARDO ECHE	4957841699									
150093	ZSCR	551	040-3	NA	A2C53287874	NA	A2C53287874	1	3011	054		1403	pcb assy	NA	HALB	S.Real	57.99	OC_OCS NISSAN_GERARDO E	4957841635									
150094	ZSCR	551	040-1	NA	A2C53287874	NA	A2C53287874	2	3011	054		1401	pcb assy	NA	HALB	S.Real	115.98	OC_OCS NISSAN_GERARDO E	4957841623									
150096	MB1A	551	040-1	B30301-00295	NA	NA	A2C53408763	1	3011	054		1095	pcb assy	NA	HALB	S.Real	166.55	PS_FIAT BRAZIL_GERARDO	4957841741									
150097	MB1A	551	042-4	B30301-00295	NA	NA	A2C53408763	1	3011	054		1095	pcb assy	NA	HALB	S.Real	166.55	PS_FIAT BRAZIL_GERARDO	4957841741									
150106	ZSCR	551	042-4	NA	5WK44252	NA	A2C53364457	3	3011	054		1424	pcb assy	NA	HALB	S.Real	316.05	OC_BOSE VW_GERARDO ECHE	4957841406									
150107	ZSCR	551	040-1	NA	5WK44276	NA	A2C53362292	1	3011	054		1401	ACU MY11 10	NA	HALB	S.Real	302.36	PS_HONDA ACCORD_GERARDO	4957841654									
150110	ZSCR	551	034-2	NA	5WK44288	NA	A2C00014717	258	3011	054		1342	"pan head screw SF-M4 x 10,00 1241"	NA	ROH	NA	61.92	PS_VW10 LC_GERARDO ECHE	4957841094									
150110	ZSCR	551	034-2	NA	5WK44286	NA	A2C00027016	25	3011	054		1342	housing	NA	ROH	NA	441.25	PS_VW10 LC_GERARDO ECHE	4957841094									
150110	ZSCR	551	034-2	NA	5WK44285	NA	A2C00027389	19	3011	054		1342	COVER	NA	ROH	NA	52.25	PS_VW10 LC_GERARDO ECHE	4957841094									
150110	ZSCR	551	034-2	NA	5WK44287	NA	A2C00027390	41	3011	054		1342	COVER	NA	ROH	NA	139.4	PS_VW10 LC_GERARDO ECHE	4957841131									
150270	ZSCR	551	030-1	NA	A2C53375496MI2	NA	A2C53375496A2	1	3011	054		1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	256.47	PS_ARAMIS III_GERARDO E	4957841318									
150273	ZSCR	551	030-1	NA	A2C53367547	NA	A2C53372300A	1	3011	054		1301	VW10G circuit board assy 16FL SMD Top	NA	HALB	S.Real	219.85	PS_VW10 LC_GERARDO ECHE	4957841071									
150276	ZSCR	551	030-1	NA	5WK43871	NA	A2C53189515MI	1	3011	054		1301	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	568.38	PS_ARAMIS II MCG_GERARD	4957841468									
150277	ZSCR	551	030-1	NA	A2C53429875	NA	A2C53429875A	1	3011	054		1301	Hyundai circuit board assy 12FL SMD Top	NA	HALB	S.Real	180.43	PS_HYUNDAI_GERARDO ECHE	4957841710									
150280	ZSCR	551	030-1	NA	A2C53429875	NA	A2C53429875A	1	3011	054		1301	Hyundai circuit board assy 12FL SMD Top	NA	HALB	S.Real	180.43	PS_HYUNDAI_GERARDO ECHE	4957841710									
150282	ZSCR	551	030-1	NA	A2C53287874	NA	A2C53287874	4	3011	054		1301	pcb assy	NA	HALB	S.Real	231.96	OC_OCS NISSAN_GERARDO E	4957841611									
150294	ZSCR	551	030-1	NA	A2C53367547	NA	A2C53372300A	1	3011	054		1301	VW10G circuit board assy 16FL SMD Top	NA	HALB	S.Real	219.85	PS_VW10 LC_GERARDO ECHE	4957841071									
150295	ZSCR	551	030-1	NA	A2C53429875	NA	A2C53429875A	1	3011	054		1301	Hyundai circuit board assy 12FL SMD Top	NA	HALB	S.Real	180.43	PS_HYUNDAI_GERARDO ECHE	4957841710									
150300	ZSCR	551	030-1	NA	A2C53367544	NA	A2C53374378A	1	3011	054		1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	173.97	PS_VW10 LC_GERARDO ECHE	4957841043									
150302	ZSCR	551	030-1	NA	A2C53367544	NA	A2C53374378A	1	3011	054		1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	173.97	PS_VW10 LC_GERARDO ECHE	4957841043									
150303	ZSCR	551	030-1	NA	A2C53374378	NA	A2C53374378A	1	3011	054		1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	173.97	PS_VW10 LC_GERARDO ECHE	4957841043									
150305	ZSCR	551	030-1	NA	A2C53367544	NA	A2C53374378A	1	3011	054		1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	173.97	PS_VW10 LC_GERARDO ECHE	4957841043									
150310	ZSCR	551	030-1	NA	A2C53375511MI	NA	A2C53375511A	1	3011	054		1301	SMD Assy C218 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real	406.32	PS_ARAMIS III_GERARDO E	4957841351									
150313	ZSCR	551	030-1	NA	A2C53375496MI2	NA	A2C53375496A2	1	3011	054		1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	256.47	PS_ARAMIS III_GERARDO E	4957841318									
150316	ZSCR	551	030-1	NA	5WK44276	NA	A2C53362292	1	3011	054		1301	ACU MY11 10	NA	HALB	S.Real	302.36	PS_HONDA ACCORD_GERARDO	4957841647									
150317	ZSCR	551	030-1	NA	A2C53429875	NA	A2C53429875A	1	3011	054		1301	Hyundai circuit board assy 12FL SMD Top	NA	HALB	S.Real	180.43	PS_HYUNDAI_GERARDO ECHE	4957841710									
