No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	050	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
561264	07/12/2014	ZSCR	551	034-2	NA	'050	A2C30849100T	NA	A2C00058681	5	3011	050	 	1342	"IC MCU BLK/MC9S12XET512BMAG,3M25J or1M12"	NA	ROH	NA	140.95	S1_TIPM MEDIUM_P.PABLO	NO	
561264	07/12/2014	ZSCR	551	034-2	NA	'050	A2C31231400T	NA	A2C00834100	2	3011	050	 	1342	"IC SMART POW/-,QFN24,4,27V,35mOhm,HIGHSI"	NA	ROH	NA	32.12	S1_TIPM MEDIUM_P.PABLO	NO	
561264	07/12/2014	ZSCR	551	034-2	NA	'050	A2C30850600T	NA	A2C40015254	4	3011	050	 	1342	"IC SMART POW/VND5004ASP30,MultiPowerSO-3"	NA	ROH	NA	67.4	S1_TIPM MEDIUM_P.PABLO	NO	
561265	07/12/2014	ZSCR	551	034-2	NA	'050	A2C31231100	NA	A2C53428230	1510	3011	050	 	1342	CONNECTOR FEADER	NA	ROH	NA	120.8	S1_TIPM MEDIUM_P.PABLO	NO	
561286	07/12/2014	ZSCR	551	034-2	NA	'050	A2C7384970293	NA	A2C00048064	1	3011	050	 	1342	"TLE8264E,SBC,CAN/3LIN,DSO36-EP,BUS DRIVE"	NA	ROH	NA	13.83	S1_CBC MY15_.	NO	
561286	07/12/2014	ZSCR	551	034-2	NA	'050	A2C37574400	NA	A2C00063691	1	3011	050	 	1342	"IC MCU BLK/SPC5515,M22M,LQFP-144,FLASH,0"	NA	ROH	NA	41.91	S1_CBC MY15_.	NO	
561288	07/12/2014	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C53375403	2	3011	050	 	1342	receiver DIVZZDIV RXI-35-4	NA	ROH	NA	45.44	S1_WK_WD RFHUB_A.ADRIAN	NO	
561332	07/12/2014	ZSCR	551	042-4	NA	'050	A2C73789604	NA	A2C73599005	4	3011	050	 	1424	pcb 4-lay ImSn Chrysler MY15 CBC	NA	ROH	NA	398.56	S1_CBC MY15_.	NO	
561361	07/12/2014	ZSCR	551	034-2	NA	'050	A2C32293500	NA	A2C38081500	80	3011	050	 	1342	FOBIK MAX PCB	NA	ROH	NA	299.2	S1_PASE FOB CUSW_A.ADRI	NO	
561367	07/12/2014	ZSCR	551	034-2	NA	'015	A2C86022500	NA	A2C8730220093	3				1342	pcb assy RKE 433 w/oKG Var#3	NA	HALB	S.Real	442.95	S1_CUSW UF RFHM_A.ADRIA	NO	
