No.Item	Fecha		Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
224342	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	1	1095	pcb topSMD TOP	NA	HALB	S.Real	234.04	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224343	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	1	1095	pcb topSMD TOP	NA	HALB	S.Real	234.04	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224344	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	1	1095	pcb topSMD TOP	NA	HALB	S.Real	234.04	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224346	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	2	1095	pcb topSMD TOP	NA	HALB	S.Real	468.08	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224355	28/10/2012		ZSCR	551	034-2	NA	'054	A2C53364457	NA	A2C53355145	3	1342	front plate	NA	ROH	NA	71.64	OC_BOSE VW_ANA TAPIA-VI	NO	4962325122		
224357	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44748	NA	A2C53330107	4	1342	socket	NA	ROH	NA	72.24	PS_HONDA HRS5_	NO	4962326548		
224357	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44754	NA	A2C53330109	2	1342	socket	NA	ROH	NA	47.54	PS_HONDA HRS5_	NO	4962326492		
224357	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44591	NA	A2C53405650	2	1342	multipoint connector 82P H 2SYS YE	NA	ROH	NA	43.12	PS_HONDA HRS5_	NO	4962326492		
224358	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44591	NA	A2C53405650	3	1342	multipoint connector 82P H 2SYS YE	NA	ROH	NA	64.68	PS_HONDA HRS5_	NO	4962326492		
224361	28/10/2012		MB1A	551	034-2	K96019	'054	NA	NA	A2C53330107	1	1095	socket	NA	ROH	NA	18.06	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224362	28/10/2012		ZSCR	551	034-2	NA	'054	5WY86930	NA	A2C53125065	1	1342	multipoint connector 96P H 2SYS C-B	NA	ROH	NA	21.84	PS_ARAMIS 2012_EDWIN RO	NO	4962325381		
224364	28/10/2012		ZSCR	551	034-2	NA	'054	A2C53364457	NA	A2C53355145	1	1342	front plate	NA	ROH	NA	23.88	OC_BOSE VW_ANA TAPIA-VI	NO	4962325122		
224369	28/10/2012		ZSCR	551	034-2	NA	'054	A2C53354968	NA	A2C53240199	5	1342	cable harness	NA	ROH	NA	68.05	OC_OCS NISSAN_ANA TAPIA	NO	4962325227		
224369	28/10/2012		ZSCR	551	034-2	NA	'054	6592827601V01	NA	A2C00016838	1980	1342	connector pin	NA	ROH	NA	554.4	OC_OCS NISSAN_ANA TAPIA	NO	4962325171		
224375	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44748	NA	A2C53330107	4	1342	socket	NA	ROH	NA	72.24	PS_HONDA HRS5_	NO	4962326548		
224375	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44749	NA	A2C53405650	2	1342	multipoint connector 82P H 2SYS YE	NA	ROH	NA	43.12	PS_HONDA HRS5_	NO	4962326492		
224375	28/10/2012		ZSCR	551	034-2	NA	'054	5WKHRS5	NA	A2C53295039	6	1342	pcb HONDA ACU16 main	NA	ROH	NA	94.98	PS_HONDA HRS5_	NO	4962326565		
224380	28/10/2012		ZSCR	551	040-1	NA	'054	5WK44741	NA	A2C53371768	1	1401	cover FIP T GY	NA	ROH	NA	3.64	PS_ARAMIS III_FERNANDO	NO	4962326185		
224380	28/10/2012		ZSCR	551	040-1	NA	'054	5WK44741	NA	A2C53245952	1	1401	"housing FIP 152,0x 135,7"	NA	ROH	NA	19.16	PS_ARAMIS III_FERNANDO	NO	4962326185		
224380	28/10/2012		ZSCR	551	040-1	NA	'054	5WK44741	NA	A2C53375498MI2	1	1401	MI Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real	453.43	PS_ARAMIS III_FERNANDO	NO			
224382	28/10/2012		ZSCR	551	040-1	NA	'054	5WK44741	NA	A2C53375498MI2	1	1401	MI Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real	453.43	PS_ARAMIS III_FERNANDO	NO			
224383	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44741	NA	A2C53375498MI2	2	1342	MI Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real	906.86	PS_ARAMIS III_FERNANDO	NO			
