No.Item	Txs SAP	Mov	Código Scrap	O.I.	OKJ	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
130603	ZSCR	551	034-2	NA	5WY8546	NA	A2C53283864	1	1342	key GM CADILLA 5BUT 206	NA	ROH	NA	27.09	4956707607
130608	ZSCR	551	034-1	NA	5WY8456	NA	A2C53139542	1	1341	key GM CADILLA 4BUT 215	NA	ROH	NA	24.23	4956707335
130609	ZSCR	551	034-2	NA	5WY8446	NA	A2C53139537	1	1342	housing BK	NA	ROH	NA	2.23	4956707469
130610	MB1A	551	040-3	B30301-02395	5WG50403	NA	A2C53340509	1	1095	"housing UPP 170,0x 180,0"	NA	ROH	NA	8.26	4956704374
130611	ZSCR	551	034-2	NA	5WY8542	NA	6597651401	60	1342	ETIQUETA PT SKIM	NA	ROH	NA	9.6	4956707584
130612	MB1A	551	034-2	B30301-02395	NA	NA	A2C53361552	50	1095	"label 40,00x 39,00mm white foil"	NA	ROH	NA	6.5	4956704374
130613	MB1A	551	034-2	B30301-00495	NA	NA	A2C34172200	13	1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	857.22	4956703617
130614	MB1A	551	040-3	B30301-00495	A2C34172100	NA	A2C40001299	13	1095	"C ELEC,AL,150uF,20%,25V"	NA	ROH	NA	11.44	4956703617
130614	MB1A	551	040-3	B30301-00495	A2C34172100	NA	A2C40016348	1	1095	"EM RELAY,TBD,TWIN,12V"	NA	ROH	NA	10.2	4956703617
130616	ZSCR	551	034-2	NA	A2C53353727	NA	40340074	2	1342	Subassy SMD ECU PEPS MY11	NA	HALB	S.Real	245.44	4956707631
130617	ZSCR	551	030-1	NA	A2C53353727	NA	40340074	3	1301	Subassy SMD ECU PEPS MY11	NA	HALB	S.Real	368.16	4956705726
