No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	 	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
563375	11/12/2014	ZSCR	551	030-1	NA	'054	A2C83971800	NA	A2C8397200093	1	1301	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO	
563390	11/12/2014	ZSCR	551	030-1	NA	'054	A2C53404922	NA	A2C53399617A	2	1301	circuit board assy	NA	HALB	S.Real	345.44	PS_HONDA HRS5_.	NO	
563394	11/12/2014	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	1301	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO	
563401	11/12/2014	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C81531200	1	1301	pcb assy DAGARM3 V14	NA	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO	
563411	11/12/2014	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	1301	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO	
563413	11/12/2014	ZSCR	551	030-1	NA	'054	A2C86852400	NA	A2C87110200	1	1301	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
563415	11/12/2014	ZSCR	551	030-1	NA	'054	A2C91764100	NA	A2C9257230093	1	1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	256.95	PS_SDM30_.	NO	
563420	11/12/2014	ZSCR	551	030-1	NA	'054	A2C86852400	NA	A2C87110200	1	1301	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
563435	11/12/2014	ZSCR	551	030-1	NA	'054	A2C81542600	NA	A2C81543200	1	1301	pcb assy	NA	HALB	S.Real	415.2	PS_ARAMIS 2012_.	NO	
563448	11/12/2014	ZSCR	551	030-1	NA	'054	A2C38081602	NA	A2C5337549693	2	1301	pcb assy DAGARM3 V04 Top	NA	HALB	S.Real	473.38	PS_ARAMIS III_E.EDWIN R	NO	
563448	11/12/2014	ZSCR	551	030-1	NA	'054	A2C86816800	NA	A2C8661710093	2	1301	pcb assy DAGARM3 RO V17EDR Top	NA	HALB	S.Real	733.54	PS_ARAMIS III_E.EDWIN R	NO	
563449	11/12/2014	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660093	2	1301	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	529.78	PS_HONDA HRS6_J.JUAN CH	NO	
563451	11/12/2014	ZSCR	551	030-1	NA	'054	A2C91764100	NA	A2C9257230093	1	1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	256.95	PS_SDM30_.	NO	
563452	11/12/2014	ZSCR	551	040-1	NA	'054	5WY88030	NA	A2C53417786	1	1401	pcb assy	NA	HALB	S.Real/AutoBF	149.73	PSAD_GM BRASIL_A.ANA TA	NO	4985095332
563454	11/12/2014	ZSCR	551	034-3	NA	'054	A2C37964112	NA	A2C32523400	3	1343	base plate B	NA	ROH	NA	30.6	PSAD_DAIMLER STAR 2_A.A	NO	
563454	11/12/2014	ZSCR	551	034-3	NA	'054	A2C38172003	NA	A2C83435000	18	1343	cover FIP T BK	NA	ROH	NA	342.36	PSAD_DAIMLER STAR 2_A.A	NO	
563459	11/12/2014	ZSCR	551	034-2	NA	'054	A2C82735600	NA	A2C40000022	4	1342	"C ELEC,AL,4.7mF,20%,35V"	NA	ROH	NA	26.92	PS_SDM10+_.	NO	
563464	11/12/2014	ZSCR	551	040-1	NA	'054	5WK44040	NA	A2C53279728	1	1401	keypad assy	NA	HALB	S.Real/AutoBF	474.15	OC_OCS NISSAN_A.ANA TAP	NO	4985094710
563466	11/12/2014	ZSCR	551	040-1	NA	'054	A2C5339962003	NA	A2C5339962003	1	1401	pcb assy V4c	NA	HALB	S.Real	212.13	PS_HONDA HRS6_J.JUAN CH	NO	
563467	11/12/2014	ZSCR	551	040-1	NA	'054	A2C5339962003	NA	A2C5339962003	1	1401	pcb assy V4c	NA	HALB	S.Real	212.13	PS_HONDA HRS6_J.JUAN CH	NO	
