No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
175672	06/07/2012	ZSCR	551	035-1	0	A2C53309877	NA	A2C00032100	25	1351	"330pF,5%,50V,C0G,0402,TINNED,CER CAP/"		ROH	NA	0.5	S1_EZKEY_LUIS LIZARRAGA	NO	4959425937
175672	06/07/2012	ZSCR	551	035-1	0	A2C53312593	NA	A2C00033760	89	1351	"220nF,10%,50V,X7R,0805,Sn,CER CAP/GCM"		ROH	NA	6.23	S1_EZKEY_LUIS LIZARRAGA	NO	4959425973
175672	06/07/2012	ZSCR	551	035-1	0	A2C53349877	NA	A2C00033760	9	1351	"220nF,10%,50V,X7R,0805,Sn,CER CAP/GCM"		ROH	NA	0.63	S1_EZKEY_LUIS LIZARRAGA	NO	4959426024
175672	06/07/2012	ZSCR	551	035-1	0	A2C53312593	NA	A2C00039712	1	1351	"5V,100mA,STEP DOWN,SO14,VOLT REG/NCV4269"		ROH	NA	1.72	S1_EZKEY_LUIS LIZARRAGA	NO	4959425973
175672	06/07/2012	ZSCR	551	035-1	0	A2C53312593	NA	A2C00039778	1	1351	"2,both,RET,R<b>=10k , R<BE>=10k,100mA,50"		ROH	NA	0.2	S1_EZKEY_LUIS LIZARRAGA	NO	4959425973
175672	06/07/2012	ZSCR	551	035-1	0	A2C53312593	NA	A2C00040723	8	1351	"2.495V,100mA,STEP DOWN,SOT23-5,VOLT REG/"		ROH	NA	14.24	S1_EZKEY_LUIS LIZARRAGA	NO	4959425973
175672	06/07/2012	ZSCR	551	035-1	0	A2C53349877	NA	A2C00040723	20	1351	"2.495V,100mA,STEP DOWN,SOT23-5,VOLT REG/"		ROH	NA	35.6	S1_EZKEY_LUIS LIZARRAGA	NO	4959426024
175672	06/07/2012	ZSCR	551	035-1	0	A2C53309877	NA	A2C00042205	80	1351	"2.36mH,30mA,SMD,COIL/"		ROH	NA	240	S1_EZKEY_LUIS LIZARRAGA	NO	4959425937
175672	06/07/2012	ZSCR	551	035-1	0	A2C53309877T	NA	A2C00042208	39	1351	"TRANSMITTER,315MHz,TDK5111F"		ROH	NA	220.74	S1_EZKEY_LUIS LIZARRAGA	NO	4959425956
175672	06/07/2012	ZSCR	551	035-1	0	A2C53309877T	NA	A2C00043939	264	1351	"9.844MHz,10ppm,NX5032SA,QUARTZ CRYSTAL/"		ROH	NA	858	S1_EZKEY_LUIS LIZARRAGA	NO	4959425956
175672	06/07/2012	ZSCR	551	035-1	0	A2C53312593	NA	A2C00043986	1	1351	"EEPROM,16KBit,2048*8,0s,SO8,-40C,125C,ME"		ROH	NA	1.57	S1_EZKEY_LUIS LIZARRAGA	NO	4959425973
175672	06/07/2012	ZSCR	551	035-1	0	A2C53349877	NA	A2C00053545	2	1351	"S9S12Q128VFUE1,OM66G,QFP80,FLASH,0bit,MI"		ROH	NA	40.18	S1_EZKEY_LUIS LIZARRAGA	NO	4959426024
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875	NA	A2C00054196	2	1351	"PIC16C54CT-04I, A1, SO18L, STD IC - MASK"		ROH	NA	10.74	S1_EZKEY_LUIS LIZARRAGA	NO	4959426044
175672	06/07/2012	ZSCR	551	035-1	0	A2C53349877	NA	A2C53111033	2	1351	receiver		ROH	NA	53.74	S1_EZKEY_LUIS LIZARRAGA	NO	4959426024
175673	06/07/2012	ZSCR	551	035-1	0	A2C3417220093	NA	A2C00046655	1018	1351	"400V,700mA,1,FAST,SOD123F,RECT DIODE/RR2"		ROH	NA	223.96	S1_EZKEY_LUIS LIZARRAGA	NO	4959425755
175673	06/07/2012	ZSCR	551	035-1	0	A2C3417220093	NA	A2C40004183	22	1351	"R LIN,100R,5%,TK200,100mW,0603"		ROH	NA	0.22	S1_EZKEY_LUIS LIZARRAGA	NO	4959425755
175673	06/07/2012	ZSCR	551	035-1	0	A2C3417220093	NA	A2C40005453	128	1351	"R NET,22K,1%,0W,1206"		ROH	NA	7.68	S1_EZKEY_LUIS LIZARRAGA	NO	4959425755
175673	06/07/2012	ZSCR	551	035-1	0	A2C3417220093	NA	A2C40007459	1543	1351	"D REC/S1GL,400V,1A,SOD123,0s"		ROH	NA	339.46	S1_EZKEY_LUIS LIZARRAGA	NO	4959425755
175673	06/07/2012	ZSCR	551	035-1	0	A2C3417220093	NA	A2C40018608	30	1351	"IC MCU BLK/MC9S08AW32,A1,44-TQFP-ST,FLAS"		ROH	NA	250.8	S1_EZKEY_LUIS LIZARRAGA	NO	4959425755
175674	06/07/2012	ZSCR	551	035-1	0	40340074	NA	A2C00000429	33	1351	"40V,1A,1,SCHOTTKY,DO214AA,RECT DIODE/MBR"		ROH	NA	11.88	S1_PEPS_JAVIER BECERRA	NO	4959425595
175674	06/07/2012	ZSCR	551	035-1	0	40340074	NA	A2C00000562	10	1351	"1,PNP,NORMAL,100mA,45V,SOT23,BIP/BC857C"		ROH	NA	0.8	S1_PEPS_JAVIER BECERRA	NO	4959425595
175674	06/07/2012	ZSCR	551	035-1	0	40340074	NA	A2C00001995	33	1351	"10nF,10%,100V,X7R,0805,TINNED,CER CAP/"		ROH	NA	1.32	S1_PEPS_JAVIER BECERRA	NO	4959425595
175674	06/07/2012	ZSCR	551	035-1	0	40340074	NA	A2C00002070	459	1351	"C CER,X7R,22nF,10%,100V,0805,Sn"		ROH	NA	18.36	S1_PEPS_JAVIER BECERRA	NO	4959425595
175674	06/07/2012	ZSCR	551	035-1	0	40340074	NA	A2C00005534	10	1351	"6K65,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.1	S1_PEPS_JAVIER BECERRA	NO	4959425595
175674	06/07/2012	ZSCR	551	035-1	0	A2C53333370	NA	A2C00006606	93	1351	"100K,5%,TK200,63mW,0402,LIN RES/"		ROH	NA	0.93	S1_PEPS_JAVIER BECERRA	NO	4959425995
175674	06/07/2012	ZSCR	551	035-1	0	A2C53357771	NA	A2C00006606	3	1351	"100K,5%,TK200,63mW,0402,LIN RES/"		ROH	NA	0.03	S1_PEPS_JAVIER BECERRA	NO	4959426070
175674	06/07/2012	ZSCR	551	035-1	0	A2C53333370B	NA	A2C00006606	129	1351	"100K,5%,TK200,63mW,0402,LIN RES/"		ROH	NA	1.29	S1_PEPS_JAVIER BECERRA	NO	4959426006
175674	06/07/2012	ZSCR	551	035-1	0	A2C53357771B	NA	A2C00006606	6	1351	"100K,5%,TK200,63mW,0402,LIN RES/"		ROH	NA	0.06	S1_PEPS_JAVIER BECERRA	NO	4959426080
175674	06/07/2012	ZSCR	551	035-1	0	6598147604	NA	A2C00007930	11	1351	"1.056mH,20mA,SMD,COIL/185 200"		ROH	NA	29.26	S1_PEPS_JAVIER BECERRA	NO	4959425654
175674	06/07/2012	ZSCR	551	035-1	0	40340074	NA	A2C00010562	13	1351	"1,P_CHAN,MOS,SMALLSIGNAL,60V,170mA,12Ohm"		ROH	NA	3.64	S1_PEPS_JAVIER BECERRA	NO	4959425595
