No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP		
287078	4/7/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C00051931	2	1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	19.9	S1_TG1C NISSAN_JAIME JI	4966302077		
287079	4/7/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C81364500	3	1342	module assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	162.09	S1_TG1C NISSAN_JAIME JI			
287080	4/7/2013	ZSCR	551	034-2	NA	'015	A2C31556400	NA	A2C31556200	1	1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	43.84	S1_TG1C NISSAN_JAIME JI			
287081	4/7/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C81364500	2	1342	module assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	108.06	S1_TG1C NISSAN_JAIME JI			
287082	4/7/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C53311707	1	1342	housing	NA	ROH	NA	2.43	S1_TG1C NISSAN_JAIME JI	4966302077		
287083	4/7/2013	ZSCR	551	034-2	NA	'015	S180052041	NA	A2C53422372	18	1342	housing	NA	ROH	NA	30.6	S5_TIS1C127 HMC_ADRIANA	4966302101		
287084	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53429204	NA	A2C53429216	1	1342	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	40.93	S5_TIS1C127 HMC_ADRIANA			
287085	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53319818	NA	A2C53402099	1	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	46.91	S1_TG1C HYUNDAI_MIGUEL			
287155	4/7/2013	ZSCR	551	030-1	NA	'050	A2C8158270092	NA	A2C8158270092	48	1301	circuit board assy TPM Bottom	NA	HALB	S.Real/AutoBF	289.44	S1_TG1C NISSAN_JAIME JI	4966301275		
287239	4/7/2013	MB1A	551	92	B30301-00495	'015	A2C86718700	NA	A2C86718700	14	1095	circuit board assy TPM	NA	HALB	S.Real/AutoBF	306.88	S1_TIS 1D CHRYSLER_JAIM	4966299659		
